// 人物名稱字串檔, 將內容複製到 GameResource.txt

[name]

item = 25000,山羊
item = 25109,荊州輕騎兵
item = 25110,荊州騎兵
item = 25111,鬼面蜘蛛
item = 25112,千年冰蠶
item = 25113,冰蛾王
item = 25114,大螞蟻
item = 25115,煉獄蜘蛛
item = 25116,穿山甲
item = 25117,屍犬
item = 25118,小鬼
item = 25119,飛頭蠻
item = 25120,鬼魅
item = 25121,鬼火
item = 25122,屍虎
item = 25123,巨殭屍
item = 25124,白骨騎兵
item = 25125,白骨車
item = 25126,夜叉長老
item = 25127,泣血棺
item = 25128,死魂刀兵
item = 25129,死魂槍兵
item = 25130,死靈巨象
item = 25131,雷鬼
item = 25132,震地獸
item = 25133,曼駝豬
item = 25134,螳蠍巨妖
item = 25135,黑暗裂鬼
item = 25136,食人花
item = 25137,史前猿人
item = 25138,震地天蟾
item = 25139,翼手地龍
item = 25140,鰲龍
item = 25141,大石
item = 25142,小樹
item = 25143,訓練用稻草人
item = 25144,訓練用木頭人
item = 25145,訓練用箭靶
item = 25146,雄鹿
item = 25147,野豬
item = 25148,山豬王
item = 25149,尖刺豬
item = 25150,劍毛豬
item = 25151,大鵰
item = 25152,鳩鷹
item = 25153,劇毒青竹絲
item = 25154,碧血朱蟒
item = 25155,噬人鱷
item = 25156,狼
item = 25157,狂狼
item = 25158,惡狼
item = 25159,銀狼
item = 25160,狼王
item = 25161,豹貓
item = 25162,大山貓
item = 25163,金錢豹
item = 25164,雲豹
item = 25165,噬人虎
item = 25166,狂暴黑熊
item = 25167,噬人巨熊
item = 25168,大棕熊
item = 25169,食屍鬼
item = 25170,屍操兵
item = 25171,水妖
item = 25172,赤焰火妖
item = 25173,扒手
item = 25174,地痞頭子
item = 25175,金剛腿
item = 25176,市井大哥
item = 25177,大姊頭
item = 25178,鐵頭拳師
item = 25179,金毛大姊
item = 25180,山賊刀兵隊長
item = 25181,山賊弓兵隊長
item = 25182,山賊槍兵隊長
item = 25183,海賊刀兵隊長
item = 25184,海賊飛刀隊長
item = 25185,海賊槍兵隊長
item = 25186,盜賊刀兵隊長
item = 25187,盜賊弓兵隊長
item = 25188,盜賊槍兵隊長
item = 25189,黃巾刀兵隊長
item = 25190,黃巾弓兵隊長
item = 25191,黃巾女兵隊長
item = 25192,黃巾槍兵隊長
item = 25193,黃巾天師
item = 25194,黃巾槍騎兵隊長
item = 25195,黃巾力士隊長
item = 25196,黃巾信徒
item = 25197,黃巾短弓兵
item = 25198,黃巾短槍兵
item = 25199,黃巾斥候兵
item = 25200,黃巾飛刀手
item = 25201,逃兵
item = 25202,石獅精
item = 25203,九尾狐
item = 25204,妖佛像
item = 25205,人面鳥
item = 25206,鳴蛇
item = 25207,劍魂
item = 25208,刀魄
item = 25209,石人
item = 25210,靈芝草人
item = 25211,靈芝小草人
item = 25212,萬年冰蠶
item = 25213,蝶精
item = 25214,靈幻飛魚
item = 25215,迷霧仙童
item = 25216,仙鶴
item = 25217,計蒙
item = 25218,機關木人
item = 25219,木鷹
item = 25220,錫隼
item = 25221,鐵獅子
item = 25222,機械車
item = 25223,金甲龍
item = 25224,神鳶
item = 25225,炎獸
item = 25226,機關人
item = 25227,機關獸
item = 25228,重型機兵
item = 25229,巨鎚機兵
item = 25230,鐵輪車
item = 25231,機關虎
item = 25232,黃泉活屍
item = 25233,虎妖
item = 25234,雪熊
item = 25235,叛逃都伯
item = 25236,叛逃武將
item = 25237,叛逃槍兵
item = 25238,叛逃弓兵
item = 25239,五彩石
item = 25240,黃巾隊長
item = 25241,海賊隊長
item = 25242,海賊馴獸師
item = 25243,山賊隊長
item = 25244,山賊馴獸師
item = 25245,蜘蛛
item = 25246,大毛蟲
item = 25247,飛蛾
item = 25248,兵蟻
item = 25249,巨蟒
item = 25250,巨蠍
item = 25251,蜈蚣
item = 25252,豺狼
item = 25253,猛虎
item = 25254,獵鷹
item = 25255,小魔法石柱
item = 25256,大魔法石柱
item = 25257,聖誕馴鹿
item = 25258,耶誕馴鹿
item = 25259,魔法馴鹿
item = 25260,迷路馴鹿
item = 25261,流浪馴鹿
item = 25262,散步馴鹿
item = 25263,鈴鐺馴鹿
item = 25264,雪橇馴鹿
item = 25265,礦岩
item = 25266,大礦石
item = 25267,金屬礦
item = 25268,矮樹
item = 25269,大樹
item = 25270,神木
item = 25271,關東民兵隊長
item = 25272,關東女兵隊長
item = 25273,關東刀兵隊長
item = 25274,關東弓兵隊長
item = 25275,關東飛刀兵隊長
item = 25276,關東槍兵隊長
item = 25277,關東輕騎兵隊長
item = 25278,關東騎兵隊長
item = 25279,荊州民兵隊長
item = 25280,荊州女兵隊長
item = 25281,荊州刀兵隊長
item = 25282,荊州弓兵隊長
item = 25283,荊州飛刀兵隊長
item = 25284,荊州槍兵隊長
item = 25285,荊州輕騎兵隊長
item = 25286,荊州騎兵隊長
item = 25287,水晶
item = 25288,大晶礦
item = 25289,結晶岩
item = 25290,羽林刀兵
item = 25291,羽林弓兵
item = 25292,羽林飛刀兵
item = 25293,羽林槍兵
item = 25294,夷州蜘蛛
item = 25295,火蟻
item = 25296,火顎兵蟻
item = 25297,過年舞獅
item = 25298,賀歲舞獅
item = 25299,如意舞獅
item = 25300,吉祥舞獅
item = 25301,爆竹舞獅
item = 25302,春雷舞獅
item = 25303,醒獅
item = 25304,青夜叉
item = 25305,赤夜叉
item = 25306,冰蠶
item = 25307,地獄犬
item = 25308,融岩穿山甲
item = 25309,毒蛾
item = 25310,斑翅蛾
item = 25311,冰蛾
item = 25312,鬼首
item = 25313,燐火
item = 25314,冰魄
item = 25315,百足蜈蚣
item = 25316,百足蠱
item = 25317,火蜘蛛
item = 25318,水蜘蛛
item = 25319,羽林輕騎兵
item = 25320,羽林騎兵
item = 25321,羽林刀兵隊長
item = 25322,羽林弓兵隊長
item = 25323,羽林飛刀兵隊長
item = 25324,羽林槍兵隊長
item = 25325,羽林輕騎兵隊長
item = 25326,羽林騎兵隊長
item = 25327,黃巾鐵箱
item = 25328,萱草
item = 25329,川草
item = 25330,忘憂草
item = 25331,金針花
item = 25332,仙人掌
item = 25333,宦官
item = 25334,黃門宦官
item = 25335,佛光
item = 25336,礦石怪
item = 25337,晶石怪
item = 25338,神鵰
item = 25339,青蛇
item = 25340,大白蛇
item = 25341,武魂神刀兵
item = 25342,武魂神槍兵
item = 25343,武魂強弓兵
item = 25344,武魂親衛兵
item = 25345,武魂戰鎚兵
item = 25346,武魂暗殺者
item = 25347,益州民兵
item = 25348,益州斥候兵
item = 25349,益州斥候弓兵
item = 25350,益州斥候刀兵
item = 25351,益州斥候槍兵
item = 25352,益州騎兵
item = 25353,益州騎兵隊長
item = 25354,益州輕騎兵
item = 25355,益州輕騎隊長
item = 25356,益州大刀兵
item = 25357,益州大刀隊長
item = 25358,益州長槍兵
item = 25359,益州長槍隊長
item = 25360,益州長弓兵
item = 25361,益州長弓隊長
item = 25362,益州近衛兵
item = 25363,益州近衛隊長
item = 25364,益州弩兵
item = 25365,益州弩兵隊長
item = 25366,益州道人
item = 25367,益州方術士
item = 25368,益州精銳刀兵
item = 25369,益州精銳槍兵
item = 25370,益州精銳弓兵
item = 25371,五斗米教刀兵
item = 25372,五斗米教槍兵
item = 25373,五斗米教弓兵
item = 25374,南陽女兵
item = 25375,南陽斥候兵
item = 25376,南陽斥候弓兵
item = 25377,南陽斥候刀兵
item = 25378,南陽斥候槍兵
item = 25379,南陽騎兵
item = 25380,南陽騎兵隊長
item = 25381,南陽輕騎兵
item = 25382,南陽輕騎隊長
item = 25383,南陽大刀兵
item = 25384,南陽大刀隊長
item = 25385,南陽長槍兵
item = 25386,南陽長槍隊長
item = 25387,南陽長弓兵
item = 25388,南陽長弓隊長
item = 25389,南陽武鬥兵
item = 25390,南陽武鬥隊長
item = 25391,南陽力士
item = 25392,南陽力士隊長
item = 25393,南陽道人
item = 25394,南陽方術士
item = 25395,南陽精銳刀兵
item = 25396,南陽精銳槍兵
item = 25397,南陽精銳弓兵
item = 25398,冀州斥候兵
item = 25399,冀州大刀兵
item = 25400,冀州大刀隊長
item = 25401,冀州長槍兵
item = 25402,冀州長槍隊長
item = 25403,冀州長弓兵
item = 25404,冀州長弓隊長
item = 25405,冀州近衛兵
item = 25406,冀州近衛隊長
item = 25407,冀州武鬥兵
item = 25408,冀州武鬥隊長
item = 25409,冀州弩兵
item = 25410,冀州弩兵隊長
item = 25411,冀州騎兵
item = 25412,冀州騎兵隊長
item = 25413,冀州輕騎兵
item = 25414,冀州輕騎隊長
item = 25415,冀州鐵騎兵
item = 25416,冀州鐵騎隊長
item = 25417,冀州游騎兵
item = 25418,冀州游騎隊長
item = 25419,冀州弓騎兵
item = 25420,冀州弓騎隊長
item = 25421,冀州力士
item = 25422,冀州力士隊長
item = 25423,冀州鏢槍兵
item = 25424,冀州鏢槍隊長
item = 25425,冀州炸彈兵
item = 25426,冀州炸彈隊長
item = 25427,冀州武士
item = 25428,冀州都尉
item = 25429,冀州道人
item = 25430,冀州方術士
item = 25431,冀州精銳刀兵
item = 25432,冀州精銳槍兵
item = 25433,冀州精銳弓兵
item = 25434,冀州精銳騎兵
item = 25435,冀州精銳武士
item = 25436,冀州精銳虎騎
item = 25437,涼州斥候兵
item = 25438,涼州大刀兵
item = 25439,涼州大刀隊長
item = 25440,涼州長槍兵
item = 25441,涼州長槍隊長
item = 25442,涼州長弓兵
item = 25443,涼州長弓隊長
item = 25444,涼州近衛兵
item = 25445,涼州近衛隊長
item = 25446,涼州武鬥兵
item = 25447,涼州武鬥隊長
item = 25448,涼州弩兵
item = 25449,涼州弩兵隊長
item = 25450,涼州騎兵
item = 25451,涼州騎兵隊長
item = 25452,涼州輕騎兵
item = 25453,涼州輕騎隊長
item = 25454,涼州鐵騎兵
item = 25455,涼州鐵騎隊長
item = 25456,涼州游騎兵
item = 25457,涼州游騎隊長
item = 25458,涼州弓騎兵
item = 25459,涼州弓騎隊長
item = 25460,涼州力士
item = 25461,涼州力士隊長
item = 25462,涼州鏢槍兵
item = 25463,涼州鏢槍隊長
item = 25464,涼州炸彈兵
item = 25465,涼州炸彈隊長
item = 25466,涼州武士
item = 25467,涼州都尉
item = 25468,涼州道人
item = 25469,涼州方術士
item = 25470,涼州精銳刀兵
item = 25471,涼州精銳槍兵
item = 25472,涼州精銳弓兵
item = 25473,涼州精銳騎兵
item = 25474,涼州精銳武士
item = 25475,涼州精銳虎騎
item = 25476,魏國大刀兵
item = 25477,魏國長槍兵
item = 25478,魏國長弓兵
item = 25479,魏國妖術兵
item = 25480,魏國鐵騎兵
item = 25481,魏國虎豹騎
item = 25482,夜鶴
item = 25483,南蠻斧兵
item = 25484,南蠻斧兵隊長
item = 25485,南蠻長弓兵
item = 25486,南蠻長弓隊長
item = 25487,南蠻鏢槍兵
item = 25488,南蠻鏢槍隊長
item = 25489,南蠻力士
item = 25490,南蠻力士隊長
item = 25491,南蠻籐甲兵
item = 25492,南蠻籐甲隊長
item = 25493,南蠻獸騎兵
item = 25494,南蠻獸騎隊長
item = 25495,南蠻妖術兵
item = 25496,南蠻巫師
item = 25497,南蠻精銳弓兵
item = 25498,南蠻精銳籐甲兵
item = 25499,陷阱城牆
item = 25500,南蠻精銳獸騎兵
item = 25501,南蠻精銳力士
item = 25502,古代巨鱷
item = 25503,南蠻虎
item = 25504,西域巨虎
item = 25505,黑狼
item = 25506,大刀衛兵
item = 25507,長槍衛兵
item = 25508,長弓衛兵
item = 25509,冀州刀兵
item = 25510,涼州刀兵
item = 25511,漠北大盜
item = 25512,闇月姬
item = 25513,闇月姬_1
item = 25514,闇月姬_2
item = 25515,闇月護衛兵
item = 25516,闇月護衛刀兵
item = 25517,闇月護衛槍兵
item = 25518,赤鷹
item = 25519,角頭大哥
item = 25520,黑寡婦
item = 25521,巨大山豬
item = 25522,猩猩
item = 25523,西羌黑豹
item = 25524,戰虎
item = 25525,西羌戰豹
item = 25526,烏戈戰牛
item = 25527,涼州戰鎚兵
item = 25528,南蠻象兵
item = 25529,匈奴大刀兵
item = 25530,匈奴長槍兵
item = 25531,匈奴長弓兵
item = 25532,匈奴巫師
item = 25533,匈奴騎兵
item = 25534,匈奴重騎兵
item = 25535,黑幫殺手
item = 25536,蛇蝎女
item = 25537,守城大刀兵
item = 25538,守城鍊鎚兵
item = 25539,守城長槍兵
item = 25540,守城戟兵
item = 25541,守城長弓兵
item = 25542,守城弩兵
item = 25543,守城近衛兵
item = 25544,守城刺客
item = 25545,守城鐵騎兵
item = 25546,守城游騎兵
item = 25547,守城長劍兵
item = 25548,守城劍士
item = 25549,南蠻象兵隊長
item = 25550,南蠻戰鎚兵
item = 25551,南蠻戰鎚隊長
item = 25552,銅球機關人
item = 25553,鐵球機關人
item = 25554,機關鷹
item = 25555,鐵輪機關車
item = 25556,機關兵
item = 25557,強化機關兵
item = 25558,鐵甲機關獸
item = 25559,銀牙機關虎
item = 25560,鐵剪重機兵
item = 25561,機關神鳶
item = 25562,機關戰虎
item = 25563,特攻型重機兵
item = 25564,南蠻重裝籐甲兵
item = 25565,南蠻戰獸騎兵
item = 25566,巨型戰虎
item = 25567,南蠻精銳戰鎚兵
item = 25568,南蠻精銳象兵
item = 25569,匈奴戰鎚兵
item = 25570,匈奴戰鎚隊長
item = 25571,匈奴大盜
item = 25572,匈奴大盜首領
item = 25573,匈奴巫師長
item = 25574,匈奴大刀隊長
item = 25575,匈奴長槍隊長
item = 25576,匈奴長弓隊長
item = 25577,匈奴騎兵隊長
item = 25578,匈奴力士
item = 25579,匈奴力士首領
item = 25580,匈奴鏢槍兵
item = 25581,匈奴鏢槍隊長
item = 25582,匈奴重騎隊長
item = 25583,匈奴精銳大刀兵
item = 25584,匈奴精銳長槍兵
item = 25585,匈奴精銳長弓兵
item = 25586,匈奴精銳騎兵
item = 25587,匈奴精銳戰鎚兵
item = 25588,匈奴精銳重騎兵
item = 25589,黃泉蜘蛛
item = 25590,煉獄屍犬
item = 25591,煉獄鬼卒
item = 25592,黑夜叉
item = 25593,噬人妖虎
item = 25594,惡靈棺
item = 25595,煉獄刀兵
item = 25596,煉獄槍兵
item = 25597,骸骨象
item = 25598,煉獄妖鬼
item = 25599,斬首魔劍
item = 25600,閻羅夜叉
item = 25601,精銳死魂刀兵
item = 25602,精銳死魂槍兵
item = 25603,魏國飛石臺
item = 25604,吳國飛石臺
item = 25605,雪人
item = 25606,大雪人
item = 25607,魏國大刀衛兵
item = 25608,魏國長槍衛兵
item = 25609,吳國大刀衛兵
item = 25610,吳國長槍衛兵
item = 25611,雪人_2
item = 25612,妖童
item = 25613,豬籠草
item = 25614,毒潭妖魚
item = 25615,蜀國飛石臺
item = 25616,蜀國大刀衛兵_夷陵
item = 25617,蜀國長槍衛兵_夷陵
item = 25618,吳國大刀衛兵_夷陵
item = 25619,吳國長槍衛兵_夷陵
item = 25620,冰蟾
item = 25621,冰蠱
item = 25622,寒冰蟾蜍
item = 25623,千年冰蠱
item = 25624,冰夜叉
item = 25625,年獸
item = 25626,年獸幼體
item = 25627,魚龍
item = 25628,蜀國大刀衛兵
item = 25629,蜀國長槍衛兵
item = 25630,聖斧兵
item = 25631,雙劍士
item = 25632,星官
item = 25633,翼弓兵
item = 25634,聖武士
item = 25635,守護獸
item = 25636,鬼甲兵
item = 25637,魔鬥士
item = 25638,暗殺兵
item = 25639,戰鬼
item = 25640,裝甲戰獸
item = 25641,魔劍士
item = 25642,河童
item = 25643,天狗
item = 25644,邪馬台劍兵
item = 25645,邪馬台弓兵
item = 25646,邪馬台槍兵
item = 25647,邪馬台巫女
item = 25648,忍者
item = 25649,隱忍
item = 25650,連弩車
item = 25651,飛石車
item = 25652,男游騎兵
item = 25653,屍魔
item = 25654,木人兵
item = 25655,鐵人兵
item = 25656,鐵車兵
item = 25657,木鎚兵
item = 25658,鋼球兵
item = 25659,邪馬台流寇
item = 25660,鱗甲水兵
item = 25661,機鐵大將軍
item = 25662,西羌攻城鎚
item = 25663,戰車
item = 25664,火銃隊
item = 25665,砲車隊
item = 25666,盾牌隊
item = 25667,鍬钁隊
item = 25668,弩箭樓
item = 25669,長弓樓
item = 25670,雷火臺
item = 25671,式神童子
item = 25672,犬神
item = 25673,流馬
item = 25674,劍齒虎
item = 25675,海妖
item = 25676,大水妖
item = 25677,巨水妖
item = 25678,白玉麒麟
item = 25679,天馬
item = 25680,龍馬
item = 25681,四不像
item = 25682,窮奇
item = 25683,麒麟
item = 25684,影青龍
item = 25685,影白虎
item = 25686,影朱雀
item = 25687,影玄武
item = 25688,影麒麟
item = 25689,南華老仙
item = 25690,于吉老仙
item = 25691,左慈老仙
item = 25692,羅剎鬼
item = 25693,邪馬台力士
item = 25694,邪馬台騎兵
item = 25695,聖斧兵隊長
item = 25696,雙劍士隊長
item = 25697,翼弓兵隊長
item = 25698,護法星官
item = 25699,聖武士隊長
item = 25700,護天守護獸
item = 25701,巨鎚重機兵
item = 25702,鬼甲兵隊長
item = 25703,暗殺兵隊長
item = 25704,魔鬥士隊長
item = 25705,煉獄戰鬼
item = 25706,魔劍豪
item = 25707,煉獄戰獸
item = 25708,嗜血赤猿
item = 25709,誅仙魔刀
item = 25710,精銳聖斧兵
item = 25711,精銳雙劍士
item = 25712,精銳星官
item = 25713,精銳翼弓兵
item = 25714,精銳聖武士
item = 25715,精銳鬼甲兵
item = 25716,精銳魔鬥士
item = 25717,精銳暗殺兵
item = 25718,精銳戰鬼
item = 25719,精銳魔劍士
item = 25720,邪馬台弓兵隊長
item = 25721,邪馬台劍兵隊長
item = 25722,邪馬台巫女隊長
item = 25723,邪馬台槍兵隊長
item = 25724,邪馬台力士隊長
item = 25725,邪馬台騎兵隊長
item = 25726,毒河童
item = 25727,大天狗
item = 25728,大猩猩
item = 25729,南蠻巨蠍
item = 25730,神劍侍衛
item = 25731,神槍侍衛
item = 25732,龍砲侍衛
item = 25733,地仙
item = 25734,劍仙
item = 25735,神獸騎兵
item = 25736,天騎兵
item = 25737,獅鷲
item = 25738,魔刀武士
item = 25739,魔槍武士
item = 25740,魔弓女妖
item = 25741,魔祭司
item = 25742,劍魔
item = 25743,獸魔騎兵
item = 25744,龍騎兵
item = 25745,翼龍
item = 25746,兵馬俑劍兵
item = 25747,兵馬俑槍兵
item = 25748,兵馬俑弓兵
item = 25749,兵馬俑戰車
item = 25750,精銳邪馬台弓兵
item = 25751,精銳邪馬台劍兵
item = 25752,精銳邪馬台巫女
item = 25753,精銳邪馬台槍兵
item = 25754,精銳邪馬台力士
item = 25755,精銳邪馬台騎兵
item = 25756,冀州副將
item = 25757,南陽副將
item = 25758,地釘
item = 25759,五毒白蛇
item = 25760,五毒青蛇
item = 25761,五毒鬣蜥
item = 25762,五毒巨蠍
item = 25763,五毒天蟾
item = 25764,羅馬戰士
item = 25765,羅馬弓兵
item = 25766,羅馬角鬥士
item = 25767,羅馬標槍手
item = 25768,羅馬重劍士
item = 25769,羅馬百夫長
item = 25770,羅馬掌旗官
item = 25771,羅馬騎兵
item = 25772,羅馬戰車
item = 25773,涼州虎賁騎兵
item = 25774,涼州衝陣戰車
item = 25775,涼州霹靂炮車
item = 25776,涼州機關鐵人
item = 25777,冀州虎賁騎兵
item = 25778,冀州衝陣戰車
item = 25779,冀州霹靂炮車
item = 25782,幽靈鬼火
item = 25783,幽靈鬼魅
item = 25784,幽靈刀兵
item = 25785,幽靈槍兵
item = 25786,五彩花卉
item = 25787,神劍侍衛隊長
item = 25788,神槍侍衛隊長
item = 25789,龍砲侍衛隊長
item = 25790,飛行仙
item = 25791,白虹劍仙
item = 25792,神獸騎兵隊長
item = 25793,天騎兵隊長
item = 25794,神鷲
item = 25795,魔刀武士隊長
item = 25796,魔槍武士隊長
item = 25797,魔弓女妖隊長
item = 25798,煉獄祭司
item = 25799,七殺劍魔
item = 25800,獸魔騎兵隊長
item = 25801,龍騎兵隊長
item = 25802,大飛龍
item = 25803,精銳神劍侍衛
item = 25804,精銳神槍侍衛
item = 25805,外掛測試勿打
item = 25806,精銳龍砲侍衛
item = 25807,精銳地仙
item = 25808,精銳劍仙
item = 25809,精銳神獸騎兵
item = 25810,精銳天騎兵
item = 25811,精銳魔刀武士
item = 25812,精銳魔槍武士
item = 25813,精銳魔弓女妖
item = 25814,精銳魔祭司
item = 25815,精銳劍魔
item = 25816,精銳獸魔騎兵
item = 25817,精銳龍騎兵
item = 25818,西羌長弓兵
item = 25819,西羌長弓兵隊長
item = 25820,西羌大刀兵
item = 25821,西羌大刀兵隊長
item = 25822,西羌攻城鎚隊長
item = 25823,西羌重騎兵
item = 25824,西羌重騎兵隊長
item = 25825,烏戈籐甲兵
item = 25826,烏戈籐甲兵隊長
item = 25827,烏戈鏢槍兵
item = 25828,烏戈鏢槍兵隊長
item = 25829,烏戈獸騎兵
item = 25830,烏戈獸騎兵隊長
item = 25831,烏戈戰虎
item = 25832,烏戈象兵
item = 25833,烏戈象兵隊長
item = 25834,羅馬戰士隊長
item = 25835,羅馬弓兵隊長
item = 25836,羅馬祭司
item = 25837,羅馬角鬥士隊長
item = 25838,羅馬標槍手隊長
item = 25839,羅馬千夫長
item = 25840,羅馬重劍士隊長
item = 25841,羅馬騎兵隊長
item = 25842,沙漠螞蟻
item = 25843,沙漠巨蠍
item = 25844,沙漠龍蜥
item = 25845,精銳羅馬戰士
item = 25846,精銳羅馬弓兵
item = 25847,精銳羅馬祭司
item = 25848,精銳羅馬角鬥士
item = 25849,精銳羅馬標槍手
item = 25850,精銳羅馬千夫長
item = 25851,精銳羅馬重劍士
item = 25852,精銳羅馬騎兵
item = 25853,羅馬舞孃
item = 25854,火燄山蜥蜴
item = 25855,羅馬舞姬
item = 25856,駱駝野盜
item = 25857,波斯刀兵
item = 25858,波斯駱駝刀兵
item = 25859,波斯弓兵
item = 25860,小精靈
item = 25861,搗蛋禮物盒
item = 25862,絕情谷大山豬_法
item = 25863,絕情谷大山豬_力
item = 25868,兵馬俑騎兵
item = 25869,高麗戰鼓兵
item = 25870,高麗大刀兵
item = 25871,高麗女戟兵
item = 25872,高麗戰鼓兵隊長
item = 25873,高麗大刀兵隊長
item = 25874,高麗女戟兵隊長
item = 25875,精銳高麗戰鼓兵
item = 25876,精銳高麗大刀兵
item = 25877,精銳高麗女戟兵
item = 25878,兵馬俑劍兵隊長
item = 25879,兵馬俑槍兵隊長
item = 25880,兵馬俑弓兵隊長
item = 25881,兵馬俑騎兵隊長
item = 25882,兵馬俑戰車隊長
item = 25883,精銳兵馬俑劍兵
item = 25884,精銳兵馬俑槍兵
item = 25885,精銳兵馬俑弓兵
item = 25886,精銳兵馬俑騎兵
item = 25887,精銳兵馬俑戰車
item = 25888,高麗鋼球兵
item = 25889,高麗木槌兵
item = 25890,高麗火銃兵
item = 25891,高麗鋼球兵隊長
item = 25892,高麗木槌兵隊長
item = 25893,高麗火銃兵隊長
item = 25894,精銳高麗鋼球兵
item = 25895,精銳高麗木槌兵
item = 25896,精銳高麗火銃兵
item = 25897,雪山雲豹
item = 25898,雲頂鵬鷹
item = 25899,巨大稻草人
item = 25900,01234567890123456789
item = 25901,最強練功稻草人
item = 25902,百萬練功稻草人
item = 25903,只殺指揮官
item = 25904,專打攻城兵器
item = 25905,看誰欠扁就打誰
item = 25909,HP百萬稻草人
item = 25910,剛體常駐稻草人
item = 25911,不怕必殺減20％
item = 25912,不怕必殺減40％
item = 25913,不怕必殺減60％
item = 25928,千萬經驗稻草人
item = 25949,昭武武魂
item = 25950,木寶箱
item = 25951,銅寶箱
item = 25952,鐵寶箱
item = 25953,銀寶箱
item = 25954,金寶箱
item = 25955,昭義武魂
item = 25956,昭文武魂
item = 25957,昭德武魂
item = 25958,財神寶箱
item = 25959,赤壁寶箱
item = 25960,葭萌關寶箱
item = 25961,夷陵寶箱
item = 25962,帝王寶箱
item = 25963,勇武魂箱
item = 25965,敵軍貨箱
item = 25966,長安寶箱
item = 25976,拒馬_01
item = 25977,拒馬_02
item = 25978,拒馬_03
item = 25979,拒馬_04
item = 25980,拒馬_05
item = 25981,六級城門
item = 25982,七級城門
item = 25983,雕像六
item = 25984,雕像七
item = 25985,軍旗_1
item = 25986,軍旗_2
item = 25987,魏旗
item = 25988,蜀旗
item = 25989,吳旗
item = 25990,一級城門
item = 25991,二級城門
item = 25992,三級城門
item = 25993,四級城門
item = 25994,五級城門
item = 25995,雕像一
item = 25996,雕像二
item = 25997,雕像三
item = 25998,雕像四
item = 25999,雕像五
item = 26000,猛將男
item = 26001,猛將女
item = 26002,全能男
item = 26003,全能女
item = 26004,軍師男
item = 26005,軍師女
item = 26006,方士男
item = 26007,方士女
item = 26050,軍團長test
item = 26051,軍師test
item = 26052,小盔test
item = 26053,大盔test
item = 26054,大將test
item = 26055,老將test
item = 26056,小冠test
item = 26057,大冠test
item = 26058,文官test
item = 26059,老文官test
item = 26060,宦官test
item = 26061,小黃巾test
item = 26062,大黃巾test
item = 26063,女黃巾test
item = 26064,女武test
item = 26065,強女武test
item = 26066,女文test
item = 26067,強女文test
item = 26068,軍師2test
item = 26069,性感女test
item = 26070,GM
item = 26071,匈奴將軍
