
// 任務文字檔
[name]

item = 40000,1級 新手訓練
item = 40163,@B煉成朱紅石及青玉石各一個@A，交給碧水地穴的煉丹道人葛洪。
item = 40164,帶口信至碧水地穴最深處
item = 40165,將煉丹道人葛洪的口信，帶給碧水地穴三層的煉丹道人葛廣。
item = 40166,向葛廣學得合成熟練之術
item = 40167,向碧水地穴三層的煉丹道人葛廣學習合成熟練之術。
item = 40168,17級 房崚討賊
item = 40169,
item = 40170,打倒山賊收集山賊銅錢
item = 40171,打倒盤據在房崚的山賊，並取回50個山賊銅錢作為證明，交給朱巂。
item = 40172,收回被奪的@B朱巂的秘令@A
item = 40173,打到@B逃兵@A取回@B朱巂的秘令@A
item = 40174,向朱巂領賞
item = 40175,向暫居房崚的朱巂領取獎賞。
item = 40176,12級 絕處逢生
item = 40177,
item = 40178,前往黃泉路的盡頭學習@B死亡心得@A
item = 40179,前往黃泉路的盡頭，學習《死亡心得》
item = 40180,12級 黃泉不容
item = 40181,
item = 40182,前往黃泉路的盡頭學習@B死亡心得@A
item = 40183,前往黃泉路的盡頭，學習《死亡心得》
item = 40184,12級 九泉歸
item = 40185,
item = 40186,前往黃泉路的盡頭學習@B死亡心得@A
item = 40187,前往黃泉路的盡頭，學習《死亡心得》
item = 40188,1級 掃蕩惡徒
item = 40189,
item = 40190,收集雜布，學習《個人商店》
item = 40191,掃蕩許昌附近的惡徒，取回35個雜布交給滿寵，作為證明。
item = 40192,1級 擊退猛獸
item = 40193,
item = 40194,收集@B牛皮、短獸牙、疏鬆獸骨@A
item = 40195,幫助上庸的簡雍擊退猛獸，取回@B1張牛皮、5個短獸牙、10個疏鬆獸骨@A。
item = 40196,1級 獵捕毒蛇
item = 40197,
item = 40198,收集毒液學習《個人商店》
item = 40199,幫助建業東陌的諸葛瑾獵捕毒蛇，並取回毒液兩份。
item = 40200,28級 軍需之要
item = 40201,
item = 40202,為蔣琬取得濁酒及老酒
item = 40203,取回二種不同的酒：濁酒40、老酒10。#交給新野城中的蔣琬。
item = 40204,取回碎肉、肉塊及新鮮肉塊
item = 40205,取回三種不同的肉：碎肉50個、肉塊25個、新鮮肉塊5個。#交給新野城中的蔣琬。
item = 40206,聚集泉水給新野城蔣琬
item = 40207,取回二種不同的泉水：清水50個、冷泉10個。#交給新野城中的蔣琬。
item = 40208,17級 軍情收集
item = 40209,
item = 40210,向簿曹從事，詢問軍需費用。
item = 40211,向壽春城中的簿曹從事，詢問本月軍需費用。
item = 40212,回報軍需費用的確實數字。
item = 40213,將軍需費用的確實數字回報給壽春城中的呂範
item = 40214,向別駕從事詢問本月糧秣消耗。
item = 40215,尋找壽春城中的別駕從事，詢問本月糧秣消耗的確實數量。
item = 40216,回報糧秣消耗的確實數字。
item = 40217,把糧秣消耗量回報給壽春的呂範。
item = 40218,向兵曹從事詢問本月新兵人數。
item = 40219,向壽春西境的兵曹從事詢問本月新兵人數。
item = 40220,回報本月新兵的確實數字。
item = 40221,記下本月新兵的確實數字，回到壽春城中回報呂範。
item = 40222,向功曹從事詢問本月晉升人數。
item = 40223,向壽春東境的功曹從事詢問本月晉升人數。
item = 40224,回報本月晉升的確實數字。
item = 40225,把晉升人數回報給壽春城中的呂範。
item = 40226,23級 修習健體秘術
item = 40227,
item = 40228,找尋新野城東百草公。
item = 40229,宛城奇人華陀，願意授予健體之秘術。但首先必需為華先生求得珍奇的平慮草。普天之下，唯有新野城東百草林中的百草公才知道如何尋得平慮草。
item = 40230,日間前往大雪山求得平慮草
item = 40231,新野城東百草公，願意開方便之門，操挪移之法前往大雪山。唯有打倒@B日間在大雪山出沒的雪熊@A，才能得到平慮草。
item = 40232,取得平慮草交給宛城華陀
item = 40233,謝過百草公，將取得的平慮草，盡速送交宛城的華陀先生，盡速學得健體秘術：體力回復。
item = 40234,23級 修習心神專一之術
item = 40235,
item = 40236,尋找新野城東的百草婆
item = 40237,幫助江夏城的張昭，找尋鬼目菜。據聞只有新野城東百草林中的百草婆，知道此物生在何處。尋得後將可以習得@C技力回復@A之術。
item = 40238,夜晚時在猛虎穴中尋找鬼目菜
item = 40239,新野城東的百草婆，願意提供取得鬼目菜的方便之門。可以藉著她的幫助，前往猛虎穴。@B只有夜晚時能取得@A。
item = 40240,盡速將鬼目菜送返張昭
item = 40241,盡速將鬼目菜送至江夏給張昭救命。
item = 40242,17級 收購奇物
item = 40243,
item = 40244,尋找富商史耀前洽購白狐裘。
item = 40245,幫助汝南城中的司馬朗，尋找汝南城富商史耀前洽購白狐裘。
item = 40246,說服史耀前出售白狐裘
item = 40247,史耀前出售白狐裘的代價為：獸皮五張及三仟兩。
item = 40248,交付白狐裘給司馬朗
item = 40249,將購得的白狐裘交給汝南城中的司馬朗。
item = 40250,向甄滸仁收購五彩琉璃杯
item = 40251,為汝南城的司馬朗，向大商甄滸仁，收購五彩琉璃杯。
item = 40252,說服甄滸仁出售五彩琉璃杯
item = 40253,籌措銅馬一個、三仟兩向甄滸仁購賣五彩琉璃杯。
item = 40254,交付五彩琉璃杯給司馬朗
item = 40255,將五彩琉璃杯交給汝南城中的司馬朗。
item = 40256,向梅梁馨收購龍紋玉壁。
item = 40257,為汝南城的司馬朗，前往汝南西境，向商人梅梁馨，代購龍紋玉壁。
item = 40258,說服梅樑馨出售龍紋玉壁。
item = 40259,籌措@B四仟兩@A，向汝南西境的梅梁馨購買龍紋玉壁。
item = 40260,交付龍紋玉壁
item = 40261,將龍紋玉壁交給汝南城中的司馬朗。
item = 40262,28級 武將技精通
item = 40263,
item = 40264,取得鳳毛(翎羽)及麟角(鹿茸)
item = 40265,取得鳳毛(翎羽)及麟角(鹿茸)各一，交給襄陽的司馬徽取得學習武將技精通的情報。
item = 40266, 取回五色石的碎片
item = 40267,前往襄陽青龍道，找尋只有在夜中出現的五彩石。並將之碎片取回，交給司馬徽。
item = 40268,5級 爆擊熟練
item = 40269,
item = 40270,取回牛角安定心神
item = 40271, 打倒城郊的狂牛，取回一個牛角。交給首都的爆擊教練。
item = 40272,收集骰子
item = 40273,打倒地痞，收集二十個骰子。
item = 40274,回答爆擊教練的問題
item = 40275,成功回答爆擊教練的問題，學習爆擊熟練。
item = 40276,15級 點穴學習
item = 40277,
item = 40278,取得 青銅劍
item = 40279,取得 青銅劍 後並裝備，回報上庸城中的關平。
item = 40280,收集30個粗麻。
item = 40281,收集30個粗麻。
item = 40282,15級 連刺學習
item = 40283,
item = 40284,取得 紅櫻槍
item = 40285,取得並裝備 紅櫻槍後，回報盧江城中的程普。
item = 40286,收集30個獸皮。
item = 40287,收集30個獸皮。
item = 40288,15級 碎岩學習
item = 40289,
item = 40290,取得 屈刀
item = 40291,取得 屈刀 並裝備在身上，回報許昌城中的曹仁。
item = 40292,收集100支匕首。
item = 40293,收集100支匕首。
item = 40294,1級 甄宓的彩扇
item = 40295,
item = 40296,為甄宓前往九里山找尋彩扇
item = 40297,許昌東方的@B九里山@A營區可能為路途上休息之處。
item = 40298,收集銅馬跟流浪漢交換彩扇
item = 40299,收集二十個@B銅馬@A向@B九里山@A的@B流浪漢@A交換@B彩扇@A
item = 40300,將彩扇交還甄宓
item = 40301,將@B彩扇@A交還@B許昌@A城中的@B甄宓@A。
item = 40302,30級 討伐叛黨
item = 40303,
item = 40304,尋長沙東阡王佑追回未達的書信
item = 40305,幫助長沙城的官吏姚文，前往@B長沙東阡@A向@B信差王佑@A尋訪@B尚未送達的信件@A
item = 40306,前往烏林尋找遺落的書信
item = 40307,王佑遺落的書信可能被有心人撿走了應往烏林尋訪。##聽說當地的人喜歡@B玉葉金釵@A，事先準備，也許有用。
item = 40308,回報長沙東阡王佑已尋回書信
item = 40309,回到長沙東阡，告知信差王佑，書信已經尋回。
item = 40310,送返書信與長沙城姚文
item = 40311,將尋回的書信，交給長沙城中的官吏‧姚文
item = 40312,組織討伐叛賊的同志。
item = 40313,與志同道合的同伴，組成三人以上的小隊，向長沙城的官吏‧姚文報到。
item = 40314,拘殺《蕭刃》取回《區里佩刀》
item = 40315,討伐@B赤壁@A亂黨《@B蕭刃@A》，取回《@C區里佩刀@A》
item = 40316,取得討逆的獎勵(隨機物品)
item = 40317,獎勵內容：亂數取得#燕尾盾、流星錘、戰靴、虎面具、武士服#五種物品中的中一項。
item = 40318,
item = 40319,
item = 40320,15級 破碎的友情
item = 40321,
item = 40322,琳兒的小籠包
item = 40323,幫助長沙城中的琳兒，收集製作小籠包的材料。#新鮮肉塊、三份#鹽巴、四份
item = 40324,轉送小籠包給彩鳳
item = 40325,將琳兒做好的小籠包交給彩鳳。
item = 40326,傳達彩鳳的口信給琳兒
item = 40327,將彩鳳小姐已經釋懷ㄧ事告訴琳兒。
item = 40328,17級 天柱山伐賊
item = 40329,
item = 40330,打倒山賊收集山賊銅錢
item = 40331,打倒盤據在天柱山的山賊，並取回50個山賊銅錢作為證明，交給暫居天柱山的皇甫嵩。
item = 40332,收回被奪的@B皇甫嵩的軍書@A
item = 40333,打到@B山賊刀兵隊長@A取回@B皇甫嵩的軍書@A。交還給向暫居天柱山的皇甫嵩。
item = 40334,向皇甫嵩領賞
item = 40335,向暫居天柱山的皇甫嵩領取獎賞。
item = 40336,15級 增軍之騎
item = 40337,
item = 40338,取得騎乘的能力
item = 40339,學習騎術，向@B屯騎校尉杉皓坦@A證明已擁有騎乘的能力。
item = 40340,取得死亡心得
item = 40341,學習死亡心得，向@B屯騎校尉杉皓坦@A證明已擁有不懼死亡的能力。
item = 40342,收集十個狼牙
item = 40343,收集十個狼牙交給屯騎校尉杉皓坦。
item = 40344,收集十個山豬牙
item = 40345,收集十個山豬牙交給屯騎校尉杉皓坦。
item = 40346,收集十張豪豬皮
item = 40347,收集十張豪豬皮交給屯騎校尉杉皓坦。
item = 40348,收集十張鱷魚皮
item = 40349,收集十張鱷魚皮交給屯騎校尉杉皓坦。
item = 40350,收集五十個珍珠
item = 40351,收集五十個珍珠交給屯騎校尉杉皓坦。
item = 40352,收集兩百五十個珊瑚
item = 40353,收集兩百五十個珊瑚交給屯騎校尉杉皓坦。
item = 40354,收集兩百五十個玉珠
item = 40355,收集兩百五十個玉珠交給屯騎校尉杉皓坦。
item = 40356,向@B屯騎校尉杉皓坦@A領賞
item = 40357,向@B屯騎校尉杉皓坦@A領取@C15@A單位的功勳及其獎勵。
item = 40358,10級 遺失的屠刀
item = 40359,
item = 40360,前往成都東境，尋找屠刀
item = 40361,幫上庸的屠夫前往成都東境，尋找遺失屠刀的下落。
item = 40362,向成都的小寶打探消息
item = 40363,據說成都的小寶擁有屠刀下落的消息。
item = 40364,回收遺失的屠刀
item = 40365,據說屠刀被棄在成都東境的土地公廟。
item = 40366,送還屠刀
item = 40367,將尋得的屠刀交還給上庸城中的屠夫。
item = 40368,10級 收集草鞋材料
item = 40369,
item = 40370,收集@B粗麻、布匹、鐵鍊@A
item = 40371,幫助襄陽的鞋販收集@B一百個粗麻、五十個布匹、十個鐵鍊個@A。
item = 40372,10級 協助逃亡
item = 40373,
item = 40374,向黑市商人購買通行證
item = 40375,幫上庸西路的逃犯到成都找黑市商人購買偽造通行證。
item = 40376,將通行證交給吳名
item = 40377,將偽造通行證交給上庸西路的逃犯吳名。
item = 40378,28級 被搶走的販馬契約
item = 40379,
item = 40380,取回販馬帳冊
item = 40381,幫助宛城張世平到襄陽找蘇雙索取販馬契約。
item = 40382,奪回被搶行李
item = 40383,幫助襄陽蘇雙擊敗@B刀鋒女煞星@A，取回蘇雙行李。
item = 40384,歸還販馬帳冊
item = 40385,將販馬契約帶回宛城，交給張世平。
item = 40386,25級 尋找手札缺頁
item = 40387,
item = 40388,前往襄陽尋找缺頁
item = 40389,幫助襄陽白虎道的書童小文到襄陽尋找手札缺頁一。
item = 40390,歸還尋得的第一張手札缺頁
item = 40391,將手札缺頁一還給書童小文。
item = 40392,前往襄陽青龍道找尋手札缺頁二
item = 40393,幫助襄陽白虎道的書童小文到襄陽青龍道尋找手札缺頁二。
item = 40394,歸還尋得的第二張手札缺頁
item = 40395,將手札缺頁二給書童小文。
item = 40396,前往襄陽白虎道找尋手札缺頁三
item = 40397,幫助襄陽白虎道的書童小文到襄陽白虎道尋找手札缺頁三。
item = 40398,歸還尋得的第三張手札缺頁
item = 40399,將手札缺頁三還給書童小文。
item = 40400,28級 張世平贈馬
item = 40401,
item = 40402,以 15000兩 的低價購買大宛馬
item = 40403,宛城張世平，願意 15000兩的低價，出售大宛馬。以為尋回販馬契約的人情。
item = 40404,24級 斬鐵學習
item = 40405,
item = 40406,收集山賊銅錢 108個、裝備寬刃劍
item = 40407,打倒橫行郊外的山賊，收集 一零八個山賊銅錢；取得一柄寬刃劍，並將之裝備在身上；向新野城吳懿學習必殺技：斬鐵
item = 40408,
item = 40409,
item = 40410,24級 昇龍學習
item = 40411,
item = 40412,收集海賊銅錢 、羽毛，裝備長頂槍
item = 40413,收集50 個海賊銅錢、10 個羽毛，並裝備長頂槍。完成後向壽春的孫匡學習必殺技昇龍。
item = 40414,
item = 40415,
item = 40416,24級 拖刀學習
item = 40417,
item = 40418,收集30 個蠱毒，並裝備鳳嘴刀。
item = 40419,碎岩修練到二級以上、馬術提昇至五級以上，@B收集30 個蠱毒，並裝備鳳嘴刀@A。完成後向@B汝南的夏侯霸@A學習必殺技昇龍。
item = 40420,
item = 40421,
item = 40422,60級 老殺手的暗器
item = 40423,
item = 40424,10個骷髏頭
item = 40425,帶來10個骷髏頭，向徐州的老殺手證明自己真的擁有成為殺手的資質。
item = 40426,20個鐵
item = 40427,收集製作20個鐵，交給徐州的老殺手打造鐵蒺藜。
item = 40428,30個柳葉鏢
item = 40429,收集30個柳葉鏢，交給徐州的老殺手作為研究新暗器的材料。
item = 40430,40個鋼
item = 40431,收集製作40個鋼，交給徐州的老殺手作為研究新暗器的材料。
item = 40432,尋訪女殺手玲玲
item = 40433,前往@B江州城尋訪女殺手玲玲@A，查問老殺手的大仇人使用的兵器"飛刀鐵匣"。
item = 40434,500支匕首
item = 40435,收集500支匕首，交給女殺手玲玲製作飛刀鐵匣。
item = 40436,飛刀鐵匣
item = 40437,將"飛刀鐵匣"交給徐州的老殺手。
item = 40438,250個關東粗麻
item = 40439,收集250個關東粗麻，交給徐州的老殺手。並準備學習技能的25000技能點。
item = 40440,特殊技能：迴避加成
item = 40441,花費25000技能點向老殺手學習特殊技能：迴避加成。
item = 40442,40級 討伐十常侍
item = 40443,
item = 40444,討伐十常侍取回@B皇帝詔書@A
item = 40445,討伐十常侍@B張讓、曹節、夏惲、趙忠、侯覽、郭勝、封諝、程曠、宋典、段珪、蹇碩、徐奉等十二人@A，取回@B皇帝詔書@A。交給@B長安@A的@B閔貢@A。
item = 40446,50級 體力上限增加
item = 40447,
item = 40448,為張秀的弟弟收集訓練器具
item = 40449,收集@B兩百五十顆@A鐵球給在@B地下洞窟一層@A的@B張靖@A
item = 40450,為張靖收集傷藥材料
item = 40451,為張靖尋找療傷藥所需的@B火妖之牙兩個、虎骨膏十個@A
item = 40452,尋找張靖的師父
item = 40453,前往@B五丈原@A尋找伊衛先生
item = 40454,收集製作機關木人的材料
item = 40455,為伊衛先生收集製作機關木人所需的@B折斷的刀刃、弓的斷弦兩個，圓木棒一個@A
item = 40456,學習體力上限增加祕術
item = 40457,為伊衛先生收集完材料後，付出@B兩萬五千點技能經驗值@A可學得體力上限增加的技藝
item = 40458,55級 為五斗米祭酒
item = 40459,
item = 40460,詳知五斗米之衷
item = 40461,詳細了解五斗米天師創立五斗米教的想法。
item = 40462,找尋五斗米教司眾
item = 40463,由五斗米天師傳送前往天門峰朝陽洞，尋找五斗米司眾。
item = 40464,完成司眾交待的試煉
item = 40465,準備金錢 50000、技能點5000、飯團500個。
item = 40466,尋訪五斗米教司鐘
item = 40467,前往天門峰朝陽洞內洞，尋找五斗米司鐘。
item = 40468,取回天師印
item = 40469,打倒朝陽洞中的怪物@B小鬼@A，取回五斗米司鐘被奪的@B天師印@A。
item = 40470,回報試煉成果
item = 40471,回到鄴城，將完成試煉的成果回報五斗米天師。
item = 40472,交換信物
item = 40473,與不同職業的其他玩家交換信物。再將兩種不同的信物交給五斗米天師，完成試煉。
item = 40474,向五斗米天師學習技力上昇的特殊技
item = 40475,需要技能點 30000、功勳 10。
item = 40476,32級 夏口伐黃巾　夜襲奪圖
item = 40477,
item = 40478,前往夏口尋回@D艨衝設計圖@A
item = 40479,於夜晚時分，撤去兵馬，與夏口渡役一同前往夏口，@C搜查黃巾鐵箱@A，奪回@B艨衝設計圖@A。尋回之後，將之交給在@B江夏@A等待的@B丁奉@A大人。
item = 40480,45級 左慈的請託
item = 40481,
item = 40482,取回@B七彩鶴羽@A
item = 40483,前往峨嵋山雲海，為左慈取回@B仙鶴@A身上的@B七彩鶴羽@A。
item = 40484,支付二萬點技能學習道具效果提昇
item = 40485,交付七彩鶴羽後，可支付二萬點技能經驗值向左慈學習道具效果提昇之特技。
item = 40486,38級 氣力轉生
item = 40487,
item = 40488,煮茶與孔融
item = 40489,收集@B茶葉及清水各50份@A，為北海城的孔融煮茶。
item = 40490,前往徐州尋訪禰衡
item = 40491,依孔融的指示，前往徐州尋訪禰衡。
item = 40492,完成彌衡的要求
item = 40493,依照禰衡的指示，收集指定的物品到達指定的數量，交給禰衡，以證並非流輩。
item = 40494,回到北海拜訪孔融
item = 40495,依照孔融的方法，花費20000技能點，將暴戾之氣化作怒氣爆擊的技能。
item = 40496,50級 軍方斬鐵
item = 40497,
item = 40498,收集召喚寶石及法珠
item = 40499,打晶石怪和礦石怪，收集五百個召喚寶石，及水珠、仙珠、妖珠、礦砂各五十個。交給何玥。
item = 40500,收集一把破山劍
item = 40501,收集一把破山劍交給何玥。
item = 40502,學習必殺技：斬鐵
item = 40503,花費60000技能點，向何玥學習必殺技斬鐵。
item = 40504,65級 命療強化
item = 40505,
item = 40506,收集祭拜要物
item = 40507,佛像*3、香爐*3、月光布*1
item = 40508,收集召魂之石
item = 40509,召喚寶石*10
item = 40510,靜待仲景先生閒下
item = 40511,等待30分鐘再回來找仲景先生
item = 40512,收集補藥
item = 40513,蔘茸酒*12、驅寒湯*50、虎骨膏*100
item = 40514,靜待仲景先生閒下
item = 40515,等待60分鐘再回來找仲景先生
item = 40516,收集補傷去血之物
item = 40517,蠶絲*250、痛烈針*250
item = 40518,靜待仲景先生閒下
item = 40519,等待30分鐘再回來找仲景先生
item = 40520,向仲景先生學習命療強化之術
item = 40521,花費 20000技能點，向@B柴桑@A的仲景先生，學習命療強化之術。
item = 40522,19級 慈母之願
item = 40523,
item = 40524,前往長沙尋找阿福
item = 40525,幫助盧江王大娘，前往長沙向校尉˙馬忠詢問阿福近況。
item = 40526,領取阿福的骨灰
item = 40527,向長沙校尉˙馬忠領取阿福的骨灰。
item = 40528,護送阿福骨灰返鄉
item = 40529,護送阿福的骨灰返鄉，交給王大娘。
item = 40530,45級 鄂武的情報
item = 40531,
item = 40532,將鄂武的秘函帶給涼州的黃瑟。
item = 40533,這是一封要交給黃瑟的軍情，關係到足以左右日後戰事的重要情報。同時，更關係到鄂武的安危，務必要將這份秘函交到黃瑟手中。他就在涼州城中的旅館外。
item = 40534,將黃瑟的回信帶給會稽的鄂武。
item = 40535,黃瑟已經收到軍情，同時下達了新的軍令，將黃瑟發出的軍令交給鄂武。##完成報酬：碎銀(2)、經驗值 10000。
item = 40536,40級 祁纖的技力降低訓練
item = 40537,
item = 40538,花費三萬技能點起始訓練
item = 40539,前往豫章，與祁纖交談，花費三萬技能點，進入學習的過程。
item = 40540,羊角、鹿茸、牛角
item = 40541,收集羊角一、鹿茸一、牛角一。
item = 40542,樹皮、豹皮、虎皮
item = 40543,收集樹皮百、豹皮一、虎皮一。
item = 40544,蛇鱗、金鱗、龍鱗
item = 40545,收集鱗片百、金屬鱗五十、龍鱗一。#龍鱗唯有峨嵋山雲海的魚龍有。
item = 40546,花費三萬技能點最成最終的學習
item = 40547,與祁纖交談，花費三萬技能點，完成學習的過程。
item = 40548,7級 烽火鴛鴦夢
item = 40549,
item = 40550,尋覓楊慧娘
