// NPC名稱(複製到 GameResource.txt)

[name]
item = 50000,現在天下大亂，當兵打仗是最有發展的啦！
item = 50064,英雄已非無借之仕，老夫對爾愛莫能助。若要離開方外之地，應去找@B民兵都伯@A。##(@B分布於方外之地四方的角落@A)
item = 50065,辛苦了！#完成這項訓練的獎勵，是一雙@B布鞋@A。雖不是什麼貴重的東西，但這雙布鞋意喻著"千里之行始於足下"，也祝你能夠武運昌隆。
item = 50066,千里之行始於足下，只要努力終有一日可以成就一方霸主。
item = 50067,咦！你還沒有收集到足夠的數目吧？忘了需要收集的東西和數量是嗎？
item = 50068,對稻草人進行攻擊練習，取得掉落的樹皮。收集到@B五張樹皮@A後交給我，我會給你一雙合宜的@B布鞋@A。
item = 50069,你願意接受新手的訓練嗎？#達成的話，我會給你一雙@B布鞋@A哦。
item = 50070,是
item = 50071,不
item = 50072,訓練的內容是，對稻草人進行攻擊練習，取回掉落的樹皮。只要取得@B五張樹皮@A，交給我便可以得到一雙@B布鞋@A。
item = 50073,那等你願意接受時再來吧！
item = 50074,你現在沒有足夠的空間可以領取我要給你的@B布鞋@A， 整理一下你的背包之後再來吧！
item = 50075,天下紛亂，黃巾禍起，萬民疾苦……
item = 50076,如果水不幹淨，喝了會生病。你們行腳在外，要自己小心啊！
item = 50077,城裡的水源不幹淨，很多人因此而生病。須要@B淨水石@A來使水淨化。城裡又沒有專精於@B煉石的道士@A，真是麻煩。
item = 50078,看你的樣子還叫人信得過，要不要幫忙跑一趟，賺筆外快？
item = 50079,是
item = 50080,否
item = 50081,這真是可惜，這筆賞金真的不小哦！
item = 50082,太好了，這下有不少人可以輕鬆了。
item = 50083,能夠煉成@B淨水石@A的道士，便在城外，並且需要用去@B50個石珠@A，務必要先收集好。
item = 50084,這個責任對你來說太重了，等你更有擔當的時候再讓你幫忙吧！##(@C承接任務等級限制  5@A)
item = 50085,能夠煉成@B淨水石@A的道士，便在城外，並且需要用去@B50個石珠@A，務必要先收集好。
item = 50086,你已經找到@B煉石的道士@A了？
item = 50087,感謝你！這下城裡的人都有幹淨的水能喝了，這都是你的功勞啊！
item = 50088,沒有@B淨水石@A？這下怎麼辦…… 只能麻煩你再跑一趟了。
item = 50089,NULL NULL NULL
item = 50090,說到煉丹、煉石、煉物這樣的東西。最容易的就是@B淨水石@A了。只要有@B50個石珠@A，就可以輕易的煉成。
item = 50091,你說水不幹淨是吧？#哪就須要用到@C淨水石@A了。
item = 50092,要@C淨水石@A不難，免費幫你煉也沒問題…… #但是要有@B50個石珠@A。
item = 50093,這些@B石珠@A我收下了，煉成的@B淨水石@A你趕緊帶回城裡去救人。
item = 50094,快把@B淨水石@A帶回去，很多人等著呢！
item = 50095,在煉造房可以使用公用的丹爐煉成物品。
item = 50096,你@C沒有足夠的空間@A可以收下煉成的@B淨水石@A。
item = 50097,無法領取物品。#(@C負重已達上限或無空間@A)
item = 50098,你已經不是生手的士兵了，這些@B匕首@A就送給你當作步入戰場的獎勵吧。如果你還須要匕首的話，隨時都可以來找我。
item = 50099,你達到完成最基本的訓練還需要一段時間，再去努力一下吧！##(@C承接任務等級限制  2@A)
item = 50100,你剛到這方外之地，還有很多可以學習。等身體練得強健一點了，我就把這些@B匕首@A送給你。##(@C承接任務等級限制 2@A)
item = 50101,你還需要@B匕首@A嗎？
item = 50102,是
item = 50103,否
item = 50104,交換@B12個匕首@A需要兩個@B疏鬆獸骨@A，你確定要交換嗎？
item = 50105,是
item = 50106,否
item = 50107,如果你還有需要的話隨時都可以回來找我哦！
item = 50108,你沒有足夠的@B疏鬆獸骨@A可以進行交換。
item = 50109,這個… 你沒有足夠的空間放我要給你的@B匕首@B。等等再來吧！
item = 50110,阿兵，你要不要跟我換東西？
item = 50111,要
item = 50112,不要
item = 50113,討厭～
item = 50114,那麼，你要跟我換什麼？
item = 50115,吃的
item = 50116,喝的
item = 50117,玩的
item = 50118,用的
item = 50119,可是……我只有吃的和喝的……
item = 50120,我看看… … # 這樣的話，你身上的@B雜布@A我全都要了，如何？
item = 50121,可以
item = 50122,不要
item = 50123,騙人鬼，你身上跟本沒有@B雜布@A嘛！
item = 50124,就換這些吧！其他的我不要了…… 
item = 50125,這樣吧！我要你身上的……@B破獸皮@A，而且要十個換一個。
item = 50126,可以
item = 50127,不要
item = 50128,你沒有@B破獸皮@A嘛…… 哪，你要不要用@B粗麻@A換？
item = 50129,可以
item = 50130,不要
item = 50131,什麼啊……你連粗麻都沒有啊……
item = 50132,傳令A 天台
item = 50133,萬夫莫敵的猛將，不止要自己強，更要能幫助同伴。##(@C承接任務等級限制 3@A)
item = 50134,年輕人，有事讓你跑跑腿，達成的話就送給你一個@B皮甲@A。#你願不願意？
item = 50135,願意
item = 50136,不願意
item = 50137,年輕人，不過叫你跑個腿，推三阻四的。
item = 50138,太好了！你先去找〈校台〉的校尉，看看到底怎麼收集口令？
item = 50139,別管其他的事，先去找〈校台〉的校尉就是了。
item = 50140,什麼？要口令！難不成是要把大夥的口令收集起來？#我的口令是〈逆天行〉，記得啦！
item = 50141,再來是〈修所〉的口令，收集全了記得也讓我知道。
item = 50142,兩句口令連起來〈黃巾結、逆天行〉，實再說不上什麼意思。你還是先去要〈修所〉的口令吧！
item = 50143,還有〈練兵場〉的口令，就收集完了。#快去！我真的很想知道四個口令連起來是什麼。
item = 50144,哦～四個口令連起來是〈黃巾結、逆天行、聚同心、救萬民〉，可惜老哥我腦筋不好，等你問過〈校台〉的校尉，再告訴我是什麼意思吧！
item = 50145,嗯……真的是麻煩的東西。#這種事，不用口令提醒大家也都是知道的……
item = 50146,你怎麼答應要傳口令，又中途放棄了呢？#作人這樣子可不成啊！
item = 50147,重頭來過
item = 50148,放棄
item = 50149,這樣中途放棄實在令我失望啊！
item = 50150,我還是搞不懂四句口令合起來是什麼意思……
item = 50151,你現在的能力，已經可以出去打天下了，別老留在這兒閒逛。
item = 50152,帶兵領將絕非容易之事，像你這樣的小毛頭，光是想要讓自己的隨從聽話就不容易了。
item = 50153,你就跑跑腿，鍛鏈一下體力吧！#達成的話可以得到〈皮甲〉。
item = 50154,跑腿
item = 50155,不要
item = 50156,不過就是把這方外之地走一圈，要不了你多少時間的。
item = 50157,你到〈校台〉的校尉那裡，拿了口令老老實實的把方外之地走一圈。#別半途而廢，我最看不起那種人了。
item = 50158,去找〈校台〉的校尉拿口令。
item = 50159,〈黃巾結〉多半是引申指四竄的黃巾賊人。#去找〈天台〉的校尉拿第二個口令。
item = 50160,我這裡的口令是〈聚同心〉。#你可以去問最後一個口令了。
item = 50161,這些口令，不過就是要你們記得自己要作什麼，沒什麼意義。
item = 50162,別煩我！去問最後一個口令。
item = 50163,口令都問到了？哪就去交差啊！
item = 50164,能完成一件小事，便是件大事。
item = 50165,你是個不能承擔大任的人嗎？#如果不是，為什麼不把小事情做好？
item = 50166,別再管口令的事，盡自己的本份就對了。
item = 50167,你該離開這方外之地了，這裡不過是小試身手。天下之廣，何處不能安身？
item = 50168,(@承接任務等級限制 3@A)
item = 50169,不論是操控戰局、控兵運將，或是後方支緩、前線救急，都是身為一個豪傑該考量的作為。
item = 50170,沒有急事的話，要不要去幫〈校台〉的校尉傳口令。可以得到一個〈皮甲〉哦。
item = 50171,要
item = 50172,有急事
item = 50173,有急事的話，就不必了。
item = 50174,你到〈校台〉的校尉那裡，他會告訴你，如何幫他傳口令。
item = 50175,操控戰局不是一般人作得到的事情啊！##(@C非豪傑、LV2以上 @A)
item = 50176,〈校台〉的校尉，將會給你第一個口令，所有的口令收集完成，才能明白意思。
item = 50177,〈天台〉的校尉將會給你第二個口令。#待你傳完口令，我再告訴你其中意涵。
item = 50178,〈修所〉的校尉，會給你第三個口令。#取回之後就可以來找我問最後一個口令。
item = 50179,〈練兵場〉的校尉，我所擁有的口令是〈救萬民〉。
item = 50180,你現在已經收集完所有的口令，可以前往〈校台〉回覆了。
item = 50181,口令收集完，就可以前往〈校台〉覆命了。
item = 50182,〈黃巾結、逆天行、聚同心、救萬民〉：#所指的是現下這個局勢，惡黨利用流民時所用的口號。要你們跑這一趟，是不要你們為惡人所用。
item = 50183,放棄已經承接的任務不是件好事。你重頭來過吧！
item = 50184,你中途放棄了承接的任務？#實在教人失望。
item = 50185,口令的事，你明白背後的涵義嗎？
item = 50186,你該離開這方外之地了，這裡不過是小試身手。天下之廣，何處不能安身？
item = 50187,這裡乃方外之地的〈校台〉。是步入烽火亂世前，唯一可以安居之地。##(@C承接任務等級限制 3@A)
item = 50188,方外之地這裡，有一個重大的秘密隱藏在四句口令中。這四句口令分別在我，以及其他三個校尉身上。你想不想知道？#全部收集齊全，就可以得到〈皮甲〉哦。
item = 50189,想
item = 50190,不想
item = 50191,真可惜，這個秘密對你將來一定很有用的……
item = 50192,我這裡所擁有的口令是〈黃巾結〉。#接著去找〈天台〉的校尉要第二個口令吧！
item = 50193,〈天台〉是你接下來要取得口令的地方。#你先到哪兒去，取第二個口令吧！
item = 50194,〈修所〉的校尉，擁有第三個口令。#同時他也是訓練〈豪傑〉的人，雖然脾氣不好，卻是最重視你們的人。
item = 50195,〈練兵場〉的校尉，擁有最後一個口令。#心機很重的傢伙，小心點！
item = 50196,你已經收集完所有的口令了。#這個〈皮甲〉交給你，當作是你完成方外之地訓練的像徵。
item = 50197,〈黃巾結、逆天行、聚同心、救萬民〉#這些口令組合起來，與黃巾賊人起亂的口號相同。#要你收集口令，其實不過是提醒一番罷了！#同樣的一句話，可以有各種不同的解釋。全看解釋的人所站的立場而已。
item = 50198,換個角度說：結著黃巾，起兵造反的這些人，便是你們要同心協力，幫助天下萬民的原因。
item = 50199,你答應我要收集四句口令的，是不小心忘了？還是真的想要放棄？
item = 50200,忘了口令
item = 50201,放棄
item = 50202,這真的令我很失望，放棄已經承接的事件，實在不是好事。
item = 50203,你把口令忘了？哪你的記憶力真的不好，這樣吧！就由我這從頭開始。
item = 50204,你現在的能力已經不適合留在這方外之地了。#打點打點，去找挪移道長，離開這裡吧！
item = 50205,要離開方外之地，必須靠挪移道長將你們送去想要開始闖蕩的地方。
item = 50206,在這方外之地，存在很多神秘的事情，千萬要用平常心去面對。#〈利用鍵盤上的〈Tab〉鍵，可以重複上一個行動〉
item = 50207,我這裡所擁有的口令是〈黃巾結〉。#接著去找〈天台〉的校尉要第二個口令吧！
item = 50208,你現在無法取得我要給你的獎勵，把行囊裡的東西整理整理再來吧！
item = 50209,詳獅奉寶獻字，凡收集@B金、福、喜、祥@A四字各一，便可以換取福袋一封。你要進行交換？
item = 50210,是
item = 50211,否
item = 50212,凡收集@B金、福、喜、祥@A四字各一，便可以換取福袋一封。你收集完成再來找我吧。
item = 50213,只要，你收集到@B金、福、喜、祥@A四個字的組合，隨時都可以來找我進行交換。
item = 50214,這裡是方外之地，是初入沙場的必經之地。#你應該有許多事情，還不明了的吧？#你要不要聽我詳細的跟你作個說明呢？
item = 50215,好
item = 50216,不必了
item = 50217,你想要知道的是哪一類的功能呢？
item = 50218,角色狀態
item = 50219,軍事行動
item = 50220,交友互動
item = 50221,其他、常用快捷列
item = 50222,與角色狀態相關的介面有三個：#能力介面〈Alt + A〉#物品介面〈Alt + E〉#技能介面〈Alt + S〉#你可以使用滑鼠的右鍵進行快速的使用、裝備或卸下。同時，能力點數的分配與技能的升級都是相當重要的。
item = 50223,您想要知道的是？
item = 50224,帶兵領隊
item = 50225,軍團建立
item = 50226,士兵介面：〈Alt + D〉，可以對你所擁有的士兵進行陣型、行為以及位置的安排。絕對是您征戰四方最好的幫手。
item = 50227,軍團的建立需要等級達到三十級，並擁有十萬兩的金錢。並前往所屬勢力的首都進行申請，便可以成立軍團了。
item = 50228,頻道的控制按鈕，在訊息輸入列的左側。可以控制想要收到的訊息，以及傳送訊息的目標。同時，也可以透過〈Alt + Z〉進行快速的頻道切換。
item = 50229,輸入列的右方，有兩個按鈕，可以開啟聊天室以及快速選擇已經密語過的對像。聊天室的介面，也可以使用〈Alt+C〉來開啟，這是交友最好的管道。
item = 50230,快捷列共有八格〈F1 ～F8〉、分為四頁〈F9 ～F12〉。#使用滑鼠左鍵可以將物品、技能等，放置在快捷列中。#在快列中點按滑鼠右鍵也可以使用放置在快捷列中的功能。
item = 50231,開啟介面的按鈕由左開始依序為：#人物能力〈Alt + A〉#物品裝備〈Alt + E〉#技能選單〈Alt + S〉#士兵選單〈Alt + D〉#軍團選單〈Alt + W〉#好友選單〈Alt + F〉#任務選單〈Alt + Q〉#系統選單〈Alt + X〉。
item = 50232,另外常用的介面還有：#表情選單〈Alt + N〉#地圖介面〈Alt + B〉。
item = 50233,關於基本的操作需要我從頭說明嗎？
item = 50234,是
item = 50235,不必了
item = 50236,你如果有任何需要，可以隨時來詢問我相關的問題。
item = 50237,小兄弟，你對基本的操作都了解了嗎？#是的話要不要挑戰看看。
item = 50238,挑戰
item = 50239,不必了
item = 50240,我順便提醒你一件事，如果你在這兒已經無事可做，就去找〈挪移道長〉吧！
item = 50241,這位姑娘，要不要試試自己基本操作的實力啊！成功的話有不錯的獎品哦！
item = 50242,試試
item = 50243,不必了
item = 50244,既然你接受挑戰了，哪請試著開啟〈地圖選單〉的介面。接下來的問題，答案便在其中。
item = 50245,你已經看過〈地圖選單〉了嗎？#如果沒有的話，順便提醒你，利用〈Alt + B〉可以快速的開啟 / 關閉地圖選單。
item = 50246,問題：〈徐州西阡〉的西側連接的地圖，是什麼？
item = 50247,九華山
item = 50248,大興山
item = 50249,九里山
item = 50250,長白山
item = 50251,錯！
item = 50252,真可惜妳記錯了，重新開啟〈地圖選單〉一次如何？
item = 50253,正確。#接下來，開啟〈人物能力〉和〈裝備選單〉看看。
item = 50254,利用滑鼠左鍵點選，將〈人物能力〉選單中的武器，移動到裝備選單之中。
item = 50255,你已經將身上裝備的武器拿下，並放置在裝備欄中了嗎？#如果沒有的話，可以利用#〈Alt + A〉開啟〈人物能力〉，#〈Alt + E〉開啟〈裝備選單〉再檢查一次。
item = 50256,你還沒有把身上裝備的〈尖槍〉取下。
item = 50257,你還沒有把身上裝備的〈短刀〉取下。
item = 50258,你還沒有把身上裝備的〈短棍〉取下。
item = 50259,你還沒有把身上裝備的〈木杖〉取下。
item = 50260,很好！看來你已經學會如何取下自己身上的裝備了。
item = 50261,沒錯，就是這樣。#妳這姑娘，真不能讓人小看。
item = 50262,先@C把武器裝備回去@A吧！#接下來是技能的使用。先開啟〈技能選單〉，然後切換到〈特殊技〉，看看你身上有什麼技能。
item = 50263,如果你還沒有看過自己所擁有的技能，可以利用〈Alt + S〉的快速鍵開啟，切換到〈特殊技〉。
item = 50264,現在告訴我，〈跑步〉技能在關閉的情況下，〈關〉字的顏色是？
item = 50265,金色
item = 50266,棕色
item = 50267,紅色
item = 50268,綠色
item = 50269,錯了。#我順便教你好了，在技能或物品上點按滑鼠左鍵，可以使用或開啟技能，裝備、使用或卸下物品。
item = 50270,無錯。#正是如此，被動的技能在關閉的時候，會改變成紅色。能夠注意到這點，你相當的利害啊！
item = 50271,雖然你完成挑戰了，可我沒有什麼好東西給你，這兩個包子你就拿去吧！
item = 50272,這樣你就算是完成這項挑戰了，如果你有任何想要知道的事情，可以隨時回來找我。
item = 50273,這怎麼辦，雖然你完成挑戰了，可是我沒有什麼獎勵好給你的，你要不要等等再來？
item = 50274,需要我為你解說基本的操作嗎？
item = 50275,從頭說明
item = 50276,不必了
item = 50277,金光聖母慈悲為懷，你要重返業華繁惡的人世了嗎？
item = 50278,是的
item = 50279,不必了
item = 50280,夷陵戰場：##@C等級限制：LV 30 以上 60 以下@A開戰時間：#周一至周五每天2場：#18:30、22:30。#周六、日每天5場：#02:30、10:30、13:30、18:30#、22:30。
item = 50281,報名參加
item = 50282,進入戰場
item = 50283,戰場查詢
item = 50284,夷陵戰場報名限制：LV 60 以下。
item = 50285,夷陵戰場分為蜀軍及吳軍，您要參加哪一軍？#報名參加歷史戰場需要@C5000@A兩。
item = 50286,蜀軍
item = 50287,吳軍
item = 50288,報名完成，請於開戰時間準時入場。
item = 50289,請參閱下方系統訊息。#上一場歷史戰役結果請查閱本城公布欄。
item = 50290,夷陵戰場報名限制：LV 30 以上。
item = 50291,進入夷陵戰場。
item = 50292,葭萌關戰場：##葭萌關戰場報名限制：LV 50 以上。開戰時間：#周一至周五每天2場：#18:30、22:30。#周六、日每天5場：#02:30、10:30、13:30、18:30#、22:30。
item = 50293,報名參加
item = 50294,進入戰場
item = 50295,戰場查詢
item = 50296,葭萌關戰場分為魏軍及蜀軍，您要參加哪一軍？#報名參加歷史戰場需要@C10000@A兩。
item = 50297,魏軍
item = 50298,蜀軍
item = 50299,報名完成，請於開戰時間準時入場。
item = 50300,請參閱下方系統訊息。#上一場歷史戰役結果請查閱本城公布欄。
item = 50301,進入葭萌關戰場。
item = 50302,葭萌關戰場報名限制：LV 50 以上。
item = 50303,時逢戰亂，有情人異地而處，或因兵戈，或由王命。這樣的心情，你能了解嗎？
item = 50304,不論你能否明白我的心情，你是否可以為我帶給口訊？
item = 50305,是
item = 50306,否
item = 50307,既使只有口訊也不成啊……
item = 50308,真是謝謝你了，就麻煩你幫我將口信帶給城裡的趙姑娘。
item = 50309,將口信送給趙姑娘的事情就麻煩你了。她平時就在城裡的市集附近，應當不難找才是。
item = 50310,趙姑娘真是有心人，請你送回口訊，真是有勞你了。這點小錢不成謝意，你就收下吧。
item = 50311,不論如何，幫我送口信這事，真是謝謝你了。
item = 50312,你能幫我們傳口訊，真是個好人。無論如何都謝謝你了。
item = 50313,不能跟喜歡的人在一起教人心煩，見得到喜歡的人，又不能跟他說話，更教人心煩。
item = 50314,你是幫他送口訊的！真是教人高興。
item = 50315,哪，也請你幫我回送個口訊給他吧。
item = 50316,幫我回送口訊的事情就麻煩你了。
item = 50317,不存在
item = 50318,沒意義
item = 50319,吉某生平只求懸壺濟世乃至終老，榮華富華吾視之猶如糞土。
item = 50320,病人正多的時候偏偏藥材不夠，這可怎麼辦才好？真是急死我了！
item = 50321,正所謂救人如救火。這位朋友，不知道您能不能撥空幫吉某取些藥材，事成之後必有酬謝。
item = 50322,義不容辭
item = 50323,另請高明
item = 50324,太好了！麻煩您到上庸東境尋訪在下同宗兄弟吉邈，他會將藥材備妥與你。
item = 50325,無妨！您有所不便，吉某也不強人所難，叨擾了。
item = 50326,在下的族兄弟吉邈就在上庸東境做藥材的買賣，勞煩您跑一趟了。
item = 50327,您辛苦了，吉某代鄉親父老感謝您，薄禮一份，請笑納。
item = 50328,看樣子您還沒取來藥材，救人要緊，請您早日動身。
item = 50329,您的行囊已滿，恐怕裝不了在下的禮品。
item = 50330,吉某在本地從事藥材批發買賣多年，若有需要，還請多多惠顧。
item = 50331,這位朋友原來是受族兄吉穆所托而來，有勞了，請稍待片刻，在下立刻點檢藥材。
item = 50332,真是糟糕！在下藥倉之中鱗片存量不足，勞煩這位朋友好人做到底，代吉某張羅三份鱗片吧！
item = 50333,族兄果然沒看錯人，在下這就將藥材打包妥當給您。
item = 50334,獵取附近的蛇類就有機會取得鱗片，總共缺少三份，有勞了！
item = 50335,勞煩您將藥材包袱交給族兄吉穆，救人為先，望君速行。
item = 50336,您的行囊已滿，恐怕裝不下這藥材包袱。
item = 50337,翻有一事欲請英雄相助，無奈英雄尚缺歷練，恐無力擔當此事。##(@C承接任務等級限制  10@A)
item = 50338,虞某之醫術，惟華陀先生可一爭長短！。可嘆！縱有通天之醫術，也醫不了這亂世烽火。
item = 50339,某有一事欲請閣下代勞，事成之後必有酬謝，不知您可有興趣？
item = 50340,願聞其詳
item = 50341,目前沒空
item = 50342,長沙守將李異素有氣喘之疾，吾欲配安寧丹一帖醫之，眼下尚缺藥材數味，可否請您代為尋找？
item = 50343,願意
item = 50344,拒絕
item = 50345,無妨！無妨！請閣下莫掛心上。
item = 50346,太好了！請閣下代虞某取來@B毒液五份、鹿茸三個以及羊角一個@A。在下先行謝過！
item = 50347,敢問閣下，@B毒液五份、鹿茸三個以及羊角一個@A是否已準備齊全？
item = 50348,已經備齊
item = 50349,尚未備齊
item = 50350,偏勞！偏勞！虞某在此靜候佳音。
item = 50351,嗯！閣下似乎尚未備齊，虞某需要的乃是@B毒液五份、鹿茸三個以及羊角一個@A，一切拜託了！
item = 50352,虞某為表謝意，已備妥薄禮一份，請您將行囊整頓一番，以便收禮。
item = 50353,多謝閣下相助！虞某特備薄禮一份，還請不棄！
item = 50354,虞某之前已勞煩閣下為吾張羅藥材，本不該多所要求，但身邊實無人可堪託付，只得厚顏再請您相助，不知可否再耽誤閣下片刻？
item = 50355,但說無妨
item = 50356,目前沒空
item = 50357,虞某已配成安寧丹一帖，欲送至長沙醫治李異將軍氣喘之疾，敢問閣下可願代虞某運送此丹？
item = 50358,願意
item = 50359,拒絕
item = 50360,是虞某所求無禮，請閣下多多包涵，不打擾。
item = 50361,閣下行囊已滿，恐無法收納這帖安寧丹。
item = 50362,閣下真乃仁義之人，就請您將這帖安寧丹送交長沙李異將軍。虞某拜謝！
item = 50363,勞煩您將安寧丹交予駐防於長沙的李異將軍。
item = 50364,服下安寧丹，李異將軍氣喘之疾數日即可痊愈。多謝閣下為虞某奔走，請笑納虞某所備薄禮。
item = 50365,李某長年為氣喘之疾所苦，服下虞翻大人的安寧丹之後，可謂藥到病除，今後當可全心守衛長沙，不為病痛所累。
item = 50366,盧江的虞翻大人醫術超絕，當世惟華陀先生可堪比擬。
item = 50367,咦？難道您遺失了虞翻大人託付的安寧丹？
item = 50368,原來您是受虞翻大人所托而來，偏勞！偏勞！安寧丹我就收下了，這少許酬勞請您笑納。回轉盧江之時，請務必代李某向虞翻大人致謝。
item = 50369,NULL
item = 50370,汝閱歷尚淺，莫涉凶險之事。##(@C承接任務等級限制 30@A)
item = 50371,祝某一生游俠，若為仁義二字，粉身碎骨亦在所不辭。
item = 50372,無膽鼠輩，竟敢暗算祝某，煞是可恨！
item = 50373,詢問何事可恨
item = 50374,不理他
item = 50375,祝某日前力戰海賊數十人，不慎為毒箭所傷，只得狼狽而逃，慌忙之中，連隨身兵器也遺失了。而今傷勢未愈，更兼手無寸鐵，教祝某來日如何報仇雪恨？
item = 50376,予諾代尋兵器
item = 50377,不理他
item = 50378,既然兄弟你把祝某當自己人，祝某若是推辭，豈不見外？祝某平日以寬刃劍、長頂槍、鳳嘴刀、鋼弓這四種兵器用得最稱手，勞煩兄弟為祝某取來其中一種。
item = 50379,既然妹子你把祝某當自己人，祝某若是推辭，豈不見外？祝某平日以寬刃劍、長頂槍、鳳嘴刀、鋼弓這四種兵器用得最稱手，勞煩妹子為祝某取來其中一種。
item = 50380,兄弟今日前來，可是已為愚兄尋得合適兵器？
item = 50381,給予寬刃劍
item = 50382,給予長頂槍
item = 50383,給予鳳嘴刀
item = 50384,給予鋼弓
item = 50385,妹子今日前來，可是已為愚兄尋得合適兵器？
item = 50386,給予寬刃劍
item = 50387,給予長頂槍
item = 50388,給予鳳嘴刀
item = 50389,給予鋼弓
item = 50390,感謝兄弟為愚兄取來這寬刃劍！愚兄有一書，記有防禦斬擊之要訣，今贈與兄弟你，略表感謝之意。
item = 50391,感謝妹子為愚兄取來這寬刃劍！愚兄有一書，記有防禦斬擊之要訣，今贈與妹子妳，略表感謝之意。
item = 50392,莫開愚兄玩笑，汝何來寬刃劍？
item = 50393,感謝兄弟為愚兄取來這長頂槍！愚兄有一書，記有防禦刺擊之要訣，今贈與兄弟你，略表感謝之意。
item = 50394,感謝妹子為愚兄取來這長頂槍！愚兄有一書，記有防禦刺擊之要訣，今贈與妹子妳，略表感謝之意。
item = 50395,莫開愚兄玩笑，汝何來長頂槍？
item = 50396,感謝兄弟為愚兄取來這鳳嘴刀！愚兄有一書，記載防禦碎擊之要訣，今贈與兄弟你，略表感謝之意。
item = 50397,感謝妹子為愚兄取來這鳳嘴刀！愚兄有一書，記載防禦碎擊之要訣，今贈與妹子妳，略表感謝之意。
item = 50398,莫開愚兄玩笑，汝何來鳳嘴刀？
item = 50399,感謝兄弟為愚兄取來這鋼弓！愚兄有一書，記載防禦射擊之要訣，今贈與兄弟你，略表感謝之意。
item = 50400,感謝妹子為愚兄取來這鋼弓！愚兄有一書，記載防禦射擊之要訣，今贈與妹子妳，略表感謝之意。
item = 50401,莫開愚兄玩笑，汝何來鋼弓？
item = 50402,愚兄不能白拿汝之兵器，故備一物相贈，整頓行囊之後再來吧！
item = 50403,兄弟既是自己人，我也不跟你客氣。愚兄有一事欲請兄弟代辦，不知汝可願意？
item = 50404,願意
