// ª««~³]©wÀÉ2
#include TYPE.H
#include PROCESS.H
#include DEFINETXT.H
#include ITEM.H
#include ITEM2.H
#include RANGETABLE.H
#include MAGIC.H
#include MAGIC_EXP.H
#include PLAYERS.H
#include STAGE.H
#include COMPOSITE_TABLE.H


// ---------------- ¸Ë³Æ«~ -------------------
[item]
add_hp = 2432
eq_magic_resist = skillAttr_ARROW,5
eq_magic_resist = skillAttr_WATER,5
limit_level = 155
limit_job = jobLEADER
weight = 700
cost = 160000
sell = 40000
cost_level = 100
icon = 2934
wid = 2934
help_string = 4566538
comp_times = 2
soul_times = 2

[item]
code = item_»ñ¯Íµµª÷¾c
name = 4501003
type = itemTypeFoot,itemTypeNoUse
add_attr_int = 86
add_attr_mind = 55
add_attr_con = 31
add_attr_leader = 36
add_defense = 102
add_hp = 2700
add_mp = 228
eq_magic_resist = skillAttr_ARROW,5
eq_magic_resist = skillAttr_WATER,5
limit_level = 155
limit_job = jobADVISOR
weight = 700
cost = 160000
sell = 40000
cost_level = 100
icon = 2935
wid = 2935
help_string = 4566539
comp_times = 2
soul_times = 2

[item]
code = item_¯Qª÷ÄQÅï¹u
name = 4501004
type = itemTypeFoot,itemTypeNoUse
add_attr_int = 77
add_attr_mind = 73
add_attr_con = 31
add_attr_leader = 36
add_defense = 102
add_hp = 2002
add_mp = 214
eq_magic_resist = skillAttr_ARROW,5
eq_magic_resist = skillAttr_WATER,5
limit_level = 155
limit_job = jobWIZARD
weight = 700
cost = 160000
sell = 40000
cost_level = 100
icon = 2936
wid = 2936
help_string = 4566540
comp_times = 2
soul_times = 2

[item]
code = item_¾¥¤l¯«¾÷¹u
name = 4501005
type = itemTypeFoot,itemTypeNoUse
add_attr_str = 77
add_attr_int = 26
add_attr_mind = 36
add_attr_con = 53
add_attr_dex = 37
add_attr_leader = 31
add_defense = 102
add_hp = 2560
eq_magic_resist = skillAttr_ARROW,5
eq_magic_resist = skillAttr_WATER,5
limit_level = 155
limit_job = jobENGINEER
weight = 700
cost = 160000
sell = 40000
cost_level = 100
icon = 2937
wid = 2937
help_string = 4566541
comp_times = 2
soul_times = 2

[item]
code = item_«G»È­¸³½¹u
name = 4501006
type = itemTypeFoot,itemTypeNoUse
add_attr_str = 88
add_attr_con = 95
add_attr_dex = 95
add_defense = 99
add_hp = 3060
eq_magic_resist = skillAttr_ARROW,5
eq_magic_resist = skillAttr_WATER,5
limit_level = 155
limit_job = jobASSASSIN
weight = 700
cost = 160000
sell = 40000
cost_level = 100
icon = 2967
wid = 2967
help_string = 4566542
comp_times = 2
soul_times = 2

[item]
code = item_µµÂB°t¹¢
name = 4527000
type = itemTypeOther,itemTypeNoUse
add_attr_str = 20
add_attr_dex = 20
eq_magic_attack_type = skillAttr_SLASH,9
eq_magic_attack_type = skillAttr_STING,9
eq_magic_attack_type = skillAttr_EVIL,9
limit_level = 125
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4377
wid = 4377
help_string = 4592536
comp_times = 1
soul_times = 5

[item]
code = item_¤­¤ö°t¹¢
name = 4527001
type = itemTypeOther,itemTypeNoUse
add_attr_int = 20
add_attr_leader = 20
eq_magic_attack_type = skillAttr_BREAK,9
eq_magic_attack_type = skillAttr_FIRE,9
eq_magic_attack_type = skillAttr_EVIL,9
limit_level = 125
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4377
wid = 4377
help_string = 4592537
comp_times = 1
soul_times = 5

[item]
code = item_µµª÷°t¹¢
name = 4527002
type = itemTypeOther,itemTypeNoUse
add_attr_str = 20
add_attr_con = 20
eq_magic_attack_type = skillAttr_SLASH,9
eq_magic_attack_type = skillAttr_BREAK,9
eq_magic_attack_type = skillAttr_EVIL,9
limit_level = 125
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4377
wid = 4377
help_string = 4592538
comp_times = 1
soul_times = 5

[item]
code = item_°­Æ`°t¹¢
name = 4527003
type = itemTypeOther,itemTypeNoUse
add_attr_str = 20
add_attr_dex = 20
eq_magic_attack_type = skillAttr_BREAK,9
eq_magic_attack_type = skillAttr_WATER,9
eq_magic_attack_type = skillAttr_EVIL,9
limit_level = 125
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4377
wid = 4377
help_string = 4592539
comp_times = 1
soul_times = 5

[item]
code = item_¦åÆp°t¹¢
name = 4527004
type = itemTypeOther,itemTypeNoUse
add_attr_int = 20
add_attr_mind = 25
eq_magic_attack_type = skillAttr_SLASH,15
eq_magic_attack_type = skillAttr_GOD,15
limit_level = 135
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4388
wid = 4388
help_string = 4592540
comp_times = 2
soul_times = 2

[item]
code = item_´d»î°t¹¢
name = 4527005
type = itemTypeOther,itemTypeNoUse
add_attr_str = 15
add_attr_con = 15
add_attr_dex = 25
eq_magic_attack_type = skillAttr_STING,10
eq_magic_attack_type = skillAttr_BREAK,10
eq_magic_attack_type = skillAttr_WATER,5
eq_magic_attack_type = skillAttr_GOD,5
limit_level = 135
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4387
wid = 4387
help_string = 4592541
comp_times = 2
soul_times = 2

[item]
code = item_·´¤Ñ°t¹¢
name = 4527006
type = itemTypeOther,itemTypeNoUse
add_attr_str = 25
add_attr_con = 25
eq_magic_attack_type = skillAttr_STING,10
eq_magic_attack_type = skillAttr_FIRE,10
eq_magic_attack_type = skillAttr_GOD,10
limit_level = 135
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4389
wid = 4389
help_string = 4592542
comp_times = 2
soul_times = 2

[item]
code = item_µµ«Ò°t¹¢
name = 4527007
type = itemTypeOther,itemTypeNoUse
add_attr_str = 25
add_attr_con = 15
add_attr_dex = 15
eq_magic_attack_type = skillAttr_SLASH,10
eq_magic_attack_type = skillAttr_BREAK,10
eq_magic_attack_type = skillAttr_GOD,10
limit_level = 135
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4335
wid = 4335
help_string = 4592543
comp_times = 2
soul_times = 2

[item]
code = item_°E¤×°t¹¢
name = 4527008
type = itemTypeOther,itemTypeNoUse
add_attr_str = 25
add_attr_con = 25
eq_magic_attack_type = skillAttr_SLASH,10
eq_magic_attack_type = skillAttr_BREAK,10
eq_magic_attack_type = skillAttr_EVIL,10
limit_level = 135
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4333
wid = 4333
help_string = 4592544
comp_times = 2
soul_times = 2

[item]
code = item_´H¦B°t¹¢
name = 4527009
type = itemTypeOther,itemTypeNoUse
add_attr_int = 25
add_attr_leader = 20
eq_magic_attack_type = skillAttr_BREAK,10
eq_magic_attack_type = skillAttr_FIRE,10
eq_magic_attack_type = skillAttr_EVIL,10
limit_level = 135
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4334
wid = 4334
help_string = 4592545
comp_times = 2
soul_times = 2

[item]
code = item_¹p»ï°t¹¢
name = 4527010
type = itemTypeOther,itemTypeNoUse
add_attr_int = 25
add_attr_mind = 25
eq_magic_attack_type = skillAttr_WATER,10
eq_magic_attack_type = skillAttr_GOD,10
eq_magic_attack_type = skillAttr_EVIL,10
limit_level = 135
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4332
wid = 4332
help_string = 4592546
comp_times = 2
soul_times = 2

[item]
code = item_¥ñÆF°t¹¢
name = 4527011
type = itemTypeOther,itemTypeNoUse
add_attr_con = 25
add_attr_dex = 25
eq_magic_attack_type = skillAttr_STING,10
eq_magic_attack_type = skillAttr_FIRE,5
eq_magic_attack_type = skillAttr_GOD,5
eq_magic_attack_type = skillAttr_EVIL,10
limit_level = 135
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4418
wid = 4418
help_string = 4592547
comp_times = 2
soul_times = 2

[item]
code = item_¤Ñ»þ°t¹¢
name = 4527012
type = itemTypeOther,itemTypeNoUse
add_attr_str = 15
add_attr_dex = 20
add_attr_leader = 15
eq_magic_attack_type = skillAttr_SLASH,10
eq_magic_attack_type = skillAttr_WATER,10
eq_magic_attack_type = skillAttr_EVIL,10
limit_level = 135
weight = 200
cost = 200
sell = 50
cost_level = 20
icon = 4310
wid = 4310
help_string = 4592548
comp_times = 2
soul_times = 2

[item]
code = item_§N¨æ¬ô¬Ó(7¤é)
name = 4528000
duedate_only = 1
type = itemTypeHorse,itemTypeNoUse
add_attr_str = 45
add_attr_con = 75
add_defense = 20
add_hp = 100
move = 62
eq_magic_resist = skillAttr_SLASH,8
eq_magic_resist = skillAttr_STING,8
eq_magic_resist = skillAttr_BREAK,8
eq_magic_resist = skillAttr_ARROW,8
eq_magic_resist = skillAttr_FIRE,8
eq_magic_resist = skillAttr_WATER,8
eq_magic_resist = skillAttr_GOD,8
eq_magic_resist = skillAttr_EVIL,8
limit_level = 55
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
weight = 2500
cost = 640000
sell = 160000
cost_level = 96
icon = 9593
wid = 9593
help_string = 4593536
function = effFun_ANTISTATUS,effFun_STUN,effFun_WEAKEN,effFun_NO_MAGIC,effFun_NO_SPEC
anti_status_ratio = effFun_STUN,25
anti_status_ratio = effFun_WEAKEN,25
anti_status_ratio = effFun_NO_MAGIC,25
anti_status_ratio = effFun_NO_SPEC,25
sfx_hit = wav\comm\em035_1.wav
sfx_run = wav\comm\HorseRun.wav
sfx_walk = wav\comm\HorseWalk.wav
comp_times = 0
soul_times = 2
horse_height = -18
use_duedate = 604800
sp_effect = engADDCOLOR

[item]
code = item_¯PµK¹p´b(7¤é)
name = 4528001
duedate_only = 1
type = itemTypeHorse,itemTypeNoUse
add_attr_int = 10
add_attr_con = 75
add_attr_leader = 30
add_defense = 20
add_hp = 100
move = 62
eq_magic_resist = skillAttr_SLASH,8
eq_magic_resist = skillAttr_STING,8
eq_magic_resist = skillAttr_BREAK,8
eq_magic_resist = skillAttr_ARROW,8
eq_magic_resist = skillAttr_FIRE,8
eq_magic_resist = skillAttr_WATER,8
eq_magic_resist = skillAttr_GOD,8
eq_magic_resist = skillAttr_EVIL,8
limit_level = 55
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
weight = 2500
cost = 640000
sell = 160000
cost_level = 96
icon = 9596
wid = 9596
help_string = 4593537
function = effFun_ANTISTATUS,effFun_POISON,effFun_STUN,effFun_NO_MAGIC,effFun_NO_SPEC
anti_status_ratio = effFun_POISON,25
anti_status_ratio = effFun_STUN,25
anti_status_ratio = effFun_NO_MAGIC,25
anti_status_ratio = effFun_NO_SPEC,25
sfx_hit = wav\comm\em035_1.wav
sfx_run = wav\comm\HorseRun.wav
sfx_walk = wav\comm\HorseWalk.wav
comp_times = 0
soul_times = 2
horse_height = -15
use_duedate = 604800
sp_effect = engADDCOLOR

[item]
code = item_¦BÁ÷ÍeºÑ(7¤é)
name = 4528002
duedate_only = 1
type = itemTypeHorse,itemTypeNoUse
add_attr_int = 25
add_attr_mind = 15
add_attr_con = 75
add_attr_leader = 10
add_defense = 20
add_hp = 100
move = 62
eq_magic_resist = skillAttr_SLASH,8
eq_magic_resist = skillAttr_STING,8
eq_magic_resist = skillAttr_BREAK,8
eq_magic_resist = skillAttr_ARROW,8
eq_magic_resist = skillAttr_FIRE,8
eq_magic_resist = skillAttr_WATER,8
eq_magic_resist = skillAttr_GOD,8
eq_magic_resist = skillAttr_EVIL,8
limit_level = 55
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
weight = 2500
cost = 640000
sell = 160000
cost_level = 96
icon = 9597
wid = 9597
help_string = 4593538
function = effFun_ANTISTATUS,effFun_STUN,effFun_WEAKEN
anti_status_ratio = effFun_STUN,50
anti_status_ratio = effFun_WEAKEN,50
sfx_hit = wav\comm\em035_1.wav
sfx_run = wav\comm\HorseRun.wav
sfx_walk = wav\comm\HorseWalk.wav
comp_times = 0
soul_times = 2
horse_height = -9
use_duedate = 604800
sp_effect = engADDCOLOR

[item]
code = item_´Ë±O¸v´P(7¤é)
name = 4528003
duedate_only = 1
type = itemTypeHorse,itemTypeNoUse
add_attr_str = 5
add_attr_con = 75
add_attr_dex = 40
add_defense = 20
add_hp = 100
move = 62
eq_magic_resist = skillAttr_SLASH,8
eq_magic_resist = skillAttr_STING,8
eq_magic_resist = skillAttr_BREAK,8
eq_magic_resist = skillAttr_ARROW,8
eq_magic_resist = skillAttr_FIRE,8
eq_magic_resist = skillAttr_WATER,8
eq_magic_resist = skillAttr_GOD,8
eq_magic_resist = skillAttr_EVIL,8
limit_level = 55
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
weight = 2550
cost = 660000
sell = 165000
cost_level = 96
icon = 9600
wid = 9600
help_string = 4593539
function = effFun_ANTISTATUS,effFun_POISON,effFun_WEAKEN,effFun_NO_MAGIC,effFun_NO_SPEC
anti_status_ratio = effFun_POISON,25
anti_status_ratio = effFun_WEAKEN,25
anti_status_ratio = effFun_NO_MAGIC,25
anti_status_ratio = effFun_NO_SPEC,25
sfx_hit = wav\comm\em035_1.wav
sfx_run = wav\comm\HorseRun.wav
sfx_walk = wav\comm\HorseWalk.wav
comp_times = 0
soul_times = 2
horse_height = -15
use_duedate = 604800
sp_effect = engADDCOLOR

[item]
code = item_§N¨æ¬ô¬Ó(15¤é)
name = 4528004
duedate_only = 1
type = itemTypeHorse,itemTypeNoUse
add_attr_str = 45
add_attr_con = 75
add_defense = 20
add_hp = 100
move = 62
eq_magic_resist = skillAttr_SLASH,8
eq_magic_resist = skillAttr_STING,8
eq_magic_resist = skillAttr_BREAK,8
eq_magic_resist = skillAttr_ARROW,8
eq_magic_resist = skillAttr_FIRE,8
eq_magic_resist = skillAttr_WATER,8
eq_magic_resist = skillAttr_GOD,8
eq_magic_resist = skillAttr_EVIL,8
limit_level = 55
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
weight = 2500
cost = 640000
sell = 160000
cost_level = 96
icon = 9593
wid = 9593
help_string = 4593540
function = effFun_ANTISTATUS,effFun_STUN,effFun_WEAKEN,effFun_NO_MAGIC,effFun_NO_SPEC
anti_status_ratio = effFun_STUN,25
anti_status_ratio = effFun_WEAKEN,25
anti_status_ratio = effFun_NO_MAGIC,25
anti_status_ratio = effFun_NO_SPEC,25
sfx_hit = wav\comm\em035_1.wav
sfx_run = wav\comm\HorseRun.wav
sfx_walk = wav\comm\HorseWalk.wav
comp_times = 0
soul_times = 2
horse_height = -18
use_duedate = 1296000
sp_effect = engADDCOLOR

[item]
code = item_¯PµK¹p´b(15¤é)
name = 4528005
duedate_only = 1
type = itemTypeHorse,itemTypeNoUse
add_attr_int = 10
add_attr_con = 75
add_attr_leader = 30
add_defense = 20
add_hp = 100
move = 62
eq_magic_resist = skillAttr_SLASH,8
eq_magic_resist = skillAttr_STING,8
eq_magic_resist = skillAttr_BREAK,8
eq_magic_resist = skillAttr_ARROW,8
eq_magic_resist = skillAttr_FIRE,8
eq_magic_resist = skillAttr_WATER,8
eq_magic_resist = skillAttr_GOD,8
eq_magic_resist = skillAttr_EVIL,8
limit_level = 55
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
weight = 2500
cost = 640000
sell = 160000
cost_level = 96
icon = 9596
wid = 9596
help_string = 4593541
function = effFun_ANTISTATUS,effFun_POISON,effFun_STUN,effFun_NO_MAGIC,effFun_NO_SPEC
anti_status_ratio = effFun_POISON,25
anti_status_ratio = effFun_STUN,25
anti_status_ratio = effFun_NO_MAGIC,25
anti_status_ratio = effFun_NO_SPEC,25
sfx_hit = wav\comm\em035_1.wav
sfx_run = wav\comm\HorseRun.wav
sfx_walk = wav\comm\HorseWalk.wav
comp_times = 0
soul_times = 2
horse_height = -15
use_duedate = 1296000
sp_effect = engADDCOLOR

[item]
code = item_¦BÁ÷ÍeºÑ(15¤é)
name = 4528006
duedate_only = 1
type = itemTypeHorse,itemTypeNoUse
add_attr_int = 25
add_attr_mind = 15
add_attr_con = 75
add_attr_leader = 10
add_defense = 20
add_hp = 100
move = 62
eq_magic_resist = skillAttr_SLASH,8
eq_magic_resist = skillAttr_STING,8
eq_magic_resist = skillAttr_BREAK,8
